标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|1370745715|gb|MH119732.1| Rothia endophytica strain JZ R-4 16S ribosomal RNA gene, partial sequence",1450,MH119732.1,Rothia endophytica,Rothia,strain JZ,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1086,1085,99.91%,0,8-1093,1436-351
"gi|1370745715|gb|MH119732.1| Rothia endophytica strain JZ R-4 16S ribosomal RNA gene, partial sequence",1450,MH119732.1,Rothia endophytica,Rothia,strain JZ,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1086,1085,99.91%,0,8-1093,1436-351
"gi|511193867|gb|KC554189.1| Uncultured bacterium clone 4-76 16S ribosomal RNA gene, partial sequence",1524,KC554189.1,Uncultured bacterium,Uncultured,clone 4-76,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1086,1085,99.91%,0,8-1093,1451-366
"gi|511193867|gb|KC554189.1| Uncultured bacterium clone 4-76 16S ribosomal RNA gene, partial sequence",1524,KC554189.1,Uncultured bacterium,Uncultured,clone 4-76,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1086,1085,99.91%,0,8-1093,1451-366
"gi|887497254|gb|KR055017.1| Rothia sp. KAR56 16S ribosomal RNA gene, complete sequence",1452,KR055017.1,Rothia sp,Rothia,,16S ribosomal RNA gene,complete sequence,1,0.00e+00,1086,1085,99.91%,0,8-1093,1432-347
"gi|2363080269|ref|NR_178360.1| Rothia marina strain JSM 078151 16S ribosomal RNA, partial sequence",1443,NR_178360.1,Rothia marina,Rothia,strain JSM,16S ribosomal RNA,partial sequence,1,0.00e+00,1086,1085,99.91%,0,8-1093,1418-333
"gi|1779939430|gb|MN758848.1| Rothia marina strain JM88 16S ribosomal RNA gene, partial sequence",1426,MN758848.1,Rothia marina,Rothia,strain JM88,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1086,1085,99.91%,0,8-1093,1411-326
"gi|566085657|ref|NR_109752.1| Rothia endophytica strain YIM 67072 16S ribosomal RNA, partial sequence >gi|482665106|gb|KC806052.1| Rothia endophytica strain YIM 67072 16S ribosomal RNA gene, partial sequence >gi|966913578|gb|KT365980.1| Uncultured Rothia sp. clone MJAU D0145 16S ribosomal RNA gene, partial sequence >gi|972975317|gb|KT905462.1| Uncultured bacterium clone BS-26 16S ribosomal RNA gene, partial sequence >gi|972975337|gb|KT905482.1| Uncultured bacterium clone BS-46 16S ribosomal RNA gene, partial sequence >gi|972975431|gb|KT905576.1| Uncultured bacterium clone Mc-47 16S ribosomal RNA gene, partial sequence >gi|972975476|gb|KT905621.1| Uncultured bacterium clone Mc-92 16S ribosomal RNA gene, partial sequence >gi|972975675|gb|KT905820.1| Uncultured bacterium clone TSJG-2 16S ribosomal RNA gene, partial sequence >gi|972975690|gb|KT905835.1| Uncultured bacterium clone TSJG-17 16S ribosomal RNA gene, partial sequence >gi|972975699|gb|KT905844.1| Uncultured bacterium clone TSJG-26 16S ribosomal RNA gene, partial sequence >gi|972975707|gb|KT905852.1| Uncultured bacterium clone TSJG-34 16S ribosomal RNA gene, partial sequence",1520,NR_109752.1,Rothia endophytica,Rothia,strain YIM,16S ribosomal RNA,partial sequence,1,0.00e+00,1086,1085,99.91%,0,8-1093,1462-377
"gi|566085657|ref|NR_109752.1| Rothia endophytica strain YIM 67072 16S ribosomal RNA, partial sequence >gi|482665106|gb|KC806052.1| Rothia endophytica strain YIM 67072 16S ribosomal RNA gene, partial sequence >gi|966913578|gb|KT365980.1| Uncultured Rothia sp. clone MJAU D0145 16S ribosomal RNA gene, partial sequence >gi|972975317|gb|KT905462.1| Uncultured bacterium clone BS-26 16S ribosomal RNA gene, partial sequence >gi|972975337|gb|KT905482.1| Uncultured bacterium clone BS-46 16S ribosomal RNA gene, partial sequence >gi|972975431|gb|KT905576.1| Uncultured bacterium clone Mc-47 16S ribosomal RNA gene, partial sequence >gi|972975476|gb|KT905621.1| Uncultured bacterium clone Mc-92 16S ribosomal RNA gene, partial sequence >gi|972975675|gb|KT905820.1| Uncultured bacterium clone TSJG-2 16S ribosomal RNA gene, partial sequence >gi|972975690|gb|KT905835.1| Uncultured bacterium clone TSJG-17 16S ribosomal RNA gene, partial sequence >gi|972975699|gb|KT905844.1| Uncultured bacterium clone TSJG-26 16S ribosomal RNA gene, partial sequence >gi|972975707|gb|KT905852.1| Uncultured bacterium clone TSJG-34 16S ribosomal RNA gene, partial sequence",1520,NR_109752.1,Rothia endophytica,Rothia,strain YIM,16S ribosomal RNA,partial sequence,1,0.00e+00,1086,1085,99.91%,0,8-1093,1462-377
"gi|402478034|emb|HE979852.1| Rothia sp. KK-5-2-2 partial 16S rRNA gene, isolate KK-5-2-2",1432,HE979852.1,Rothia sp,Rothia,isolate KK-5-2-2,16S rRNA gene,partial 16S rRNA gene,1,0.00e+00,1086,1085,99.91%,0,8-1093,1399-314
"gi|402478034|emb|HE979852.1| Rothia sp. KK-5-2-2 partial 16S rRNA gene, isolate KK-5-2-2",1432,HE979852.1,Rothia sp,Rothia,isolate KK-5-2-2,16S rRNA gene,partial 16S rRNA gene,1,0.00e+00,1086,1085,99.91%,0,8-1093,1399-314
