标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|1752957107|gb|MN519544.1| Pseudomonas sp. strain J16OP5 16S ribosomal RNA gene, partial sequence",1438,MN519544.1,Pseudomonas sp,Pseudomonas,strain J16OP5,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1119,1112,99.37%,0,6-1124,1430-312
"gi|325495115|gb|HQ697578.1| Uncultured bacterium clone T62 16S ribosomal RNA gene, partial sequence",1502,HQ697578.1,Uncultured bacterium,Uncultured,clone T62,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1121,1113,99.29%,1,5-1124,1463-343
"gi|2589254767|gb|OR642785.1| Pseudomonas sp. strain WF18 16S ribosomal RNA gene, partial sequence",1469,OR642785.1,Pseudomonas sp,Pseudomonas,strain WF18,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1121,1113,99.29%,1,5-1124,1446-326
"gi|558707119|gb|KF287759.1| Uncultured Pseudomonas sp. clone aw178 16S ribosomal RNA gene, partial sequence",1498,KF287759.1,Uncultured,Uncultured,clone aw178,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1121,1113,99.29%,1,5-1124,1462-342
"gi|1175903482|gb|KY425601.1| Pseudomonas sp. strain KNUSW-R3A4 16S ribosomal RNA gene, partial sequence",1478,KY425601.1,Pseudomonas sp,Pseudomonas,strain KNUSW-R3A4,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1121,1113,99.29%,1,5-1124,1447-327
"gi|2425237435|gb|OQ217359.1| Uncultured Pseudomonas sp. clone 9-RIF-4 16S ribosomal RNA gene, partial sequence",1412,OQ217359.1,Uncultured,Uncultured,clone 9-RIF-4,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1115,1108,99.37%,0,10-1124,1412-298
"gi|1811109570|gb|MT083992.1| Pseudomonas peli strain JN2017 16S ribosomal RNA gene, partial sequence",1491,MT083992.1,Pseudomonas peli,Pseudomonas,strain JN2017,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1121,1112,99.20%,1,5-1124,1453-333
"gi|37786993|gb|AY212594.1| Uncultured bacterium clone 143ds20 16S ribosomal RNA gene, partial sequence",1468,AY212594.1,Uncultured bacterium,Uncultured,clone 143ds20,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1124,1114,99.11%,2,3-1124,1465-342
"gi|440657884|gb|KC189671.1| Uncultured bacterium clone Hyd4 16S ribosomal RNA gene, partial sequence",1501,KC189671.1,Uncultured bacterium,Uncultured,clone Hyd4,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1121,1112,99.20%,1,5-1124,1462-342
"gi|388331687|gb|JQ923767.1| Uncultured bacterium clone 6'-12 16S ribosomal RNA gene, partial sequence",1498,JQ923767.1,Uncultured bacterium,Uncultured,clone 6,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1121,1112,99.20%,1,5-1124,1462-342
"gi|496237022|gb|KC887929.1| Proteobacterium K10 16S ribosomal RNA gene, partial sequence",1472,KC887929.1,Proteobacterium,Proteobacterium,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1121,1112,99.20%,1,5-1124,1434-314
