标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|1810812122|gb|MT078617.1| Pseudomonas guariconensis strain QH16-20 16S ribosomal RNA gene, partial sequence",1434,MT078617.1,Pseudomonas guariconensis,Pseudomonas,strain QH16-20,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1122,1118,99.64%,0,3-1124,1431-310
"gi|1622985118|gb|MK825316.1| Bacterium strain BS2128 16S ribosomal RNA gene, partial sequence",1443,MK825316.1,Bacterium,Bacterium,strain BS2128,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1122,1118,99.64%,0,3-1124,1436-315
"gi|1786613829|gb|MN855414.1| Pseudomonas monteilii strain JK-1 16S ribosomal RNA gene, partial sequence",1440,MN855414.1,Pseudomonas monteilii,Pseudomonas,strain JK-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1121,1117,99.64%,0,4-1124,1435-315
"gi|1622983334|gb|MK823532.1| Bacterium strain BS0344 16S ribosomal RNA gene, partial sequence",1432,MK823532.1,Bacterium,Bacterium,strain BS0344,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1123,1118,99.55%,0,2-1124,1431-309
"gi|1622983262|gb|MK823460.1| Bacterium strain BS0272 16S ribosomal RNA gene, partial sequence",1442,MK823460.1,Bacterium,Bacterium,strain BS0272,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1123,1118,99.55%,0,2-1124,1437-315
"gi|818212564|gb|KR063184.1| Pseudomonas sp. BS4 16S ribosomal RNA gene, partial sequence",1446,KR063184.1,Pseudomonas sp,Pseudomonas,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1123,1118,99.55%,0,2-1124,1439-317
"gi|1625649275|gb|MK849864.1| Pseudomonas putida strain E13 16S ribosomal RNA gene, partial sequence",1437,MK849864.1,Pseudomonas putida,Pseudomonas,strain E13,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1123,1118,99.55%,0,2-1124,1434-312
"gi|2596834717|gb|OR717482.1| Pseudomonas guariconensis strain 18S3F2 16S ribosomal RNA gene, partial sequence",1460,OR717482.1,Pseudomonas guariconensis,Pseudomonas,strain 18S3F2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1120,1116,99.64%,1,6-1124,1431-312
"gi|2025113624|gb|MW911611.1| Pseudomonas sp. strain CLX-5 16S ribosomal RNA gene, partial sequence",1421,MW911611.1,Pseudomonas sp,Pseudomonas,strain CLX-5,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1119,1115,99.64%,0,6-1124,1421-303
"gi|1976460660|gb|MW578895.1| Stutzerimonas stutzeri strain WM32 16S ribosomal RNA gene, partial sequence",1441,MW578895.1,Stutzerimonas stutzeri,Stutzerimonas,strain WM32,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1119,1115,99.64%,0,6-1124,1432-314
"gi|2672924876|gb|PP320385.1| Pseudomonas sp. strain AgHd2 16S ribosomal RNA gene, partial sequence",1442,PP320385.1,Pseudomonas sp,Pseudomonas,strain AgHd2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1119,1115,99.64%,0,6-1124,1435-317
"gi|2246620846|gb|CP072559.1| Pseudomonas sp. BYT-1 chromosome, complete genome",5561081,CP072559.1,Pseudomonas sp,Pseudomonas,,,complete genome,1,0.00e+00,1120,1116,99.64%,1,6-1124,190374-189255
"gi|2246620846|gb|CP072559.1| Pseudomonas sp. BYT-1 chromosome, complete genome",5561081,CP072559.1,Pseudomonas sp,Pseudomonas,,,complete genome,1,0.00e+00,1120,1116,99.64%,1,6-1124,740339-739220
"gi|2246620846|gb|CP072559.1| Pseudomonas sp. BYT-1 chromosome, complete genome",5561081,CP072559.1,Pseudomonas sp,Pseudomonas,,,complete genome,1,0.00e+00,1120,1116,99.64%,1,6-1124,1938948-1937829
"gi|2246620846|gb|CP072559.1| Pseudomonas sp. BYT-1 chromosome, complete genome",5561081,CP072559.1,Pseudomonas sp,Pseudomonas,,,complete genome,1,0.00e+00,1117,1114,99.73%,1,6-1121,4328138-4329254
