标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2221269147|gb|ON203099.1| Aeromonas veronii strain CH-GX-FC-3-1A-2021 16S ribosomal RNA gene, partial sequence",1440,ON203099.1,Aeromonas veronii,Aeromonas,strain CH-GX-FC-3-1A-2021,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1102,1096,99.46%,4,2-1099,1438-337
"gi|2221269147|gb|ON203099.1| Aeromonas veronii strain CH-GX-FC-3-1A-2021 16S ribosomal RNA gene, partial sequence",1440,ON203099.1,Aeromonas veronii,Aeromonas,strain CH-GX-FC-3-1A-2021,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1102,1096,99.46%,4,2-1099,1438-337
"gi|1766873651|gb|MN581681.1| Aeromonas veronii strain PCG1 16S ribosomal RNA gene, partial sequence",1439,MN581681.1,Aeromonas veronii,Aeromonas,strain PCG1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1102,1096,99.46%,4,2-1099,1439-338
"gi|1766873651|gb|MN581681.1| Aeromonas veronii strain PCG1 16S ribosomal RNA gene, partial sequence",1439,MN581681.1,Aeromonas veronii,Aeromonas,strain PCG1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1102,1096,99.46%,4,2-1099,1439-338
"gi|528080874|gb|KF307772.1| Aeromonas sp. RD2 16S ribosomal RNA gene, partial sequence",1446,KF307772.1,Aeromonas sp,Aeromonas,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1102,1096,99.46%,4,2-1099,1442-341
"gi|1595201738|gb|MK656324.1| Aeromonas veronii strain R0-35 16S ribosomal RNA gene, partial sequence",1419,MK656324.1,Aeromonas veronii,Aeromonas,strain R0-35,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1101,1095,99.46%,4,3-1099,1417-317
"gi|1595201738|gb|MK656324.1| Aeromonas veronii strain R0-35 16S ribosomal RNA gene, partial sequence",1419,MK656324.1,Aeromonas veronii,Aeromonas,strain R0-35,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1101,1095,99.46%,4,3-1099,1417-317
"gi|2221269122|gb|ON203101.1| Aeromonas veronii strain CH-GX-NN-SL1-2-2021 16S ribosomal RNA gene, partial sequence",1442,ON203101.1,Aeromonas veronii,Aeromonas,strain CH-GX-NN-SL1-2-2021,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1101,1095,99.46%,4,3-1099,1437-337
"gi|2533096662|gb|OR244326.1| Aeromonas veronii strain B6 16S ribosomal RNA gene, partial sequence",1419,OR244326.1,Aeromonas veronii,Aeromonas,strain B6,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1101,1095,99.46%,4,3-1099,1417-317
"gi|1236049018|gb|MF716720.1| Aeromonas veronii strain FZ2N 16S ribosomal RNA gene, partial sequence",1433,MF716720.1,Aeromonas veronii,Aeromonas,strain FZ2N,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1101,1095,99.46%,4,3-1099,1430-330
"gi|3012445716|gb|PV871823.1| Aeromonas veronii strain PFL 16S ribosomal RNA gene, partial sequence",1443,PV871823.1,Aeromonas veronii,Aeromonas,strain PFL,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1101,1095,99.46%,4,3-1099,1441-341
"gi|2288062848|gb|OP268346.1| Uncultured Aeromonas sp. clone AS0829L1 16S ribosomal RNA gene, partial sequence",1452,OP268346.1,Uncultured,Uncultured,clone AS0829L1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1101,1095,99.46%,4,3-1099,1443-343
"gi|253317613|gb|GQ232759.1| Aeromonas sobria strain JY081016-1 16S ribosomal RNA gene, partial sequence",1448,GQ232759.1,Aeromonas sobria,Aeromonas,strain JY081016-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1101,1095,99.46%,4,3-1099,1442-342
"gi|253317613|gb|GQ232759.1| Aeromonas sobria strain JY081016-1 16S ribosomal RNA gene, partial sequence",1448,GQ232759.1,Aeromonas sobria,Aeromonas,strain JY081016-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1101,1095,99.46%,4,3-1099,1442-342
"gi|451935939|gb|KC210798.1| Aeromonas sobria strain TL2 16S ribosomal RNA gene, partial sequence",1437,KC210798.1,Aeromonas sobria,Aeromonas,strain TL2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1101,1095,99.46%,5,3-1099,1433-334
"gi|1236048991|gb|MF716693.1| Aeromonas veronii strain XG2S-1 16S ribosomal RNA gene, partial sequence",1432,MF716693.1,Aeromonas veronii,Aeromonas,strain XG2S-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1100,1094,99.45%,4,4-1099,1432-333
"gi|2425237877|gb|OQ217583.1| Uncultured Aeromonas sp. clone 18-RIF-8 16S ribosomal RNA gene, partial sequence",1435,OQ217583.1,Uncultured,Uncultured,clone 18-RIF-8,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1096,1091,99.54%,4,8-1099,1427-332
"gi|2592603977|gb|OR673556.1| Aeromonas veronii strain 175 16S ribosomal RNA gene, partial sequence",1446,OR673556.1,Aeromonas veronii,Aeromonas,strain 175,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1096,1091,99.54%,4,8-1099,1436-341
"gi|2425237917|gb|OQ217603.1| Uncultured Aeromonas sp. clone 18-SxT-8 16S ribosomal RNA gene, partial sequence",1435,OQ217603.1,Uncultured,Uncultured,clone 18-SxT-8,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1096,1091,99.54%,4,8-1099,1427-332
"gi|2428898241|gb|OQ283655.1| Aeromonas veronii strain GALJ2 16S ribosomal RNA gene, partial sequence",1441,OQ283655.1,Aeromonas veronii,Aeromonas,strain GALJ2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1096,1091,99.54%,4,8-1099,1434-339
