标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|1473094909|gb|MG283140.1| Aeromonas veronii strain S5L_2K 16S ribosomal RNA gene, partial sequence",1528,MG283140.1,Aeromonas veronii,Aeromonas,strain S5L_2K,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1115,1112,99.73%,2,7-1120,1519-406
"gi|1473094909|gb|MG283140.1| Aeromonas veronii strain S5L_2K 16S ribosomal RNA gene, partial sequence",1528,MG283140.1,Aeromonas veronii,Aeromonas,strain S5L_2K,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1115,1112,99.73%,2,7-1120,1519-406
"gi|815136468|gb|KP260655.1| Aeromonas caviae strain DD5 16S ribosomal RNA gene, partial sequence >gi|1027315348|gb|KU249208.1| Aeromonas veronii strain D5 16S ribosomal RNA gene, partial sequence",1440,KP260655.1,Aeromonas caviae,Aeromonas,strain DD5,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1119,1114,99.55%,2,9-1126,1440-323
"gi|815136468|gb|KP260655.1| Aeromonas caviae strain DD5 16S ribosomal RNA gene, partial sequence >gi|1027315348|gb|KU249208.1| Aeromonas veronii strain D5 16S ribosomal RNA gene, partial sequence",1440,KP260655.1,Aeromonas caviae,Aeromonas,strain DD5,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1119,1114,99.55%,2,9-1126,1440-323
"gi|1236048996|gb|MF716698.1| Aeromonas veronii strain JX1-2-1 16S ribosomal RNA gene, partial sequence",1429,MF716698.1,Aeromonas veronii,Aeromonas,strain JX1-2-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1122,1116,99.47%,3,7-1126,1429-309
"gi|1236049012|gb|MF716714.1| Aeromonas veronii strain FZ1SY 16S ribosomal RNA gene, partial sequence",1432,MF716714.1,Aeromonas veronii,Aeromonas,strain FZ1SY,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1122,1116,99.47%,3,7-1126,1432-312
"gi|1236049012|gb|MF716714.1| Aeromonas veronii strain FZ1SY 16S ribosomal RNA gene, partial sequence",1432,MF716714.1,Aeromonas veronii,Aeromonas,strain FZ1SY,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1122,1116,99.47%,3,7-1126,1432-312
"gi|1043113314|gb|KU525084.1| Aeromonas veronii strain 9B2 16S ribosomal RNA gene, partial sequence",1449,KU525084.1,Aeromonas veronii,Aeromonas,strain 9B2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1128,1120,99.29%,3,1-1126,1446-320
"gi|2813903671|gb|PQ432926.1| Aeromonas jandaei strain MAE2 16S ribosomal RNA gene, partial sequence",1492,PQ432926.1,Aeromonas jandaei,Aeromonas,strain MAE2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1124,1117,99.38%,4,6-1126,1453-331
gi|1987851781|gb|CP070220.1| Aeromonas jandaei strain Colony25 chromosome,4573541,CP070220.1,Aeromonas jandaei,Aeromonas,strain Colony25,,,1,0.00e+00,1124,1117,99.38%,4,6-1126,1420282-1419160
gi|1987851781|gb|CP070220.1| Aeromonas jandaei strain Colony25 chromosome,4573541,CP070220.1,Aeromonas jandaei,Aeromonas,strain Colony25,,,1,0.00e+00,1124,1117,99.38%,4,6-1126,1736213-1735091
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1118,1113,99.55%,4,6-1120,158427-159543
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1117,99.38%,4,6-1126,404138-403016
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1117,99.38%,4,6-1126,808638-807516
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1118,1113,99.55%,4,6-1120,3914299-3915415
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1116,99.29%,4,6-1126,281471-280349
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1115,99.20%,4,6-1126,352778-351656
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1115,99.20%,4,6-1126,637530-636408
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1115,99.20%,4,6-1126,1045804-1044682
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1118,1111,99.37%,4,6-1120,4230541-4231657
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1118,1111,99.37%,4,6-1120,4498267-4499383
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1118,1113,99.55%,4,6-1120,158427-159543
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1117,99.38%,4,6-1126,404138-403016
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1117,99.38%,4,6-1126,808638-807516
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1118,1113,99.55%,4,6-1120,3914299-3915415
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1116,99.29%,4,6-1126,281471-280349
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1115,99.20%,4,6-1126,352778-351656
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1115,99.20%,4,6-1126,637530-636408
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1124,1115,99.20%,4,6-1126,1045804-1044682
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1118,1111,99.37%,4,6-1120,4230541-4231657
"gi|2050243495|gb|CP053881.1| Aeromonas jandaei strain 4608 chromosome, complete genome",4507629,CP053881.1,Aeromonas jandaei,Aeromonas,strain 4608,,complete genome,1,0.00e+00,1118,1111,99.37%,4,6-1120,4498267-4499383
"gi|1022506410|gb|KU975020.1| Aeromonas jandaei strain AH12 16S ribosomal RNA gene, partial sequence",1506,KU975020.1,Aeromonas jandaei,Aeromonas,strain AH12,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1124,1117,99.38%,4,6-1126,1469-347
"gi|1236049014|gb|MF716716.1| Aeromonas veronii strain FZ1N 16S ribosomal RNA gene, partial sequence",1431,MF716716.1,Aeromonas veronii,Aeromonas,strain FZ1N,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1125,1117,99.29%,3,4-1126,1431-308
"gi|1335766594|gb|CP026122.1| Aeromonas sp. ASNIH5 chromosome, complete genome",4759223,CP026122.1,Aeromonas sp,Aeromonas,,,complete genome,1,0.00e+00,1118,1113,99.55%,4,6-1120,2195700-2196816
"gi|1335766594|gb|CP026122.1| Aeromonas sp. ASNIH5 chromosome, complete genome",4759223,CP026122.1,Aeromonas sp,Aeromonas,,,complete genome,1,0.00e+00,1118,1111,99.37%,4,6-1120,2710523-2711639
