标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2689845998|gb|PP422059.1| Pantoea brenneri strain PB7_77 16S ribosomal RNA gene, partial sequence",1451,PP422059.1,Pantoea brenneri,Pantoea,strain PB7_77,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1157,1147,99.14%,6,7-1162,1426-275
"gi|1773359459|gb|MN650823.1| Pantoea brenneri strain MARDI P1 16S ribosomal RNA gene, partial sequence",1463,MN650823.1,Pantoea brenneri,Pantoea,strain MARDI,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1157,1147,99.14%,6,7-1162,1438-287
"gi|2806355287|gb|PQ346038.1| Pantoea sp. strain BRS02 16S ribosomal RNA gene, partial sequence",1475,PQ346038.1,Pantoea sp,Pantoea,strain BRS02,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1157,1146,99.05%,6,7-1162,1450-299
"gi|2806355286|gb|PQ346037.1| Pantoea sp. strain BRS01 16S ribosomal RNA gene, partial sequence",1450,PQ346037.1,Pantoea sp,Pantoea,strain BRS01,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1157,1146,99.05%,6,7-1162,1447-296
"gi|401782475|dbj|AB740379.1| Pseudomonas sp. NCCP-560 gene for 16S ribosomal RNA, partial sequence",1416,AB740379.1,Pseudomonas sp,Pseudomonas,,16S ribosomal RNA,partial sequence,1,0.00e+00,1154,1142,98.96%,5,9-1162,1416-268
"gi|627796320|gb|KJ607192.1| Pantoea sp. 81a 16S ribosomal RNA gene, partial sequence",1244,KJ607192.1,Pantoea sp,Pantoea,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1149,1138,99.04%,6,15-1162,1243-100
"gi|1229196523|gb|MF351773.1| Pantoea deleyi strain BAB-6380 16S ribosomal RNA gene, partial sequence",1226,MF351773.1,Pantoea deleyi,Pantoea,strain BAB-6380,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1157,1143,98.79%,6,7-1162,1198-47
"gi|2950057732|gb|PV448658.1| Pantoea sp. KXB45 16S ribosomal RNA gene, partial sequence",1455,PV448658.1,Pantoea sp,Pantoea,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1157,1143,98.79%,6,7-1162,1382-231
"gi|2772222229|gb|CP160631.1| Pantoea sp. Ep11b chromosome, complete genome",3902605,CP160631.1,Pantoea sp,Pantoea,,,complete genome,1,0.00e+00,1157,1143,98.79%,6,7-1162,262966-264117
"gi|2772222229|gb|CP160631.1| Pantoea sp. Ep11b chromosome, complete genome",3902605,CP160631.1,Pantoea sp,Pantoea,,,complete genome,1,0.00e+00,1157,1143,98.79%,6,7-1162,382535-383686
"gi|2772222229|gb|CP160631.1| Pantoea sp. Ep11b chromosome, complete genome",3902605,CP160631.1,Pantoea sp,Pantoea,,,complete genome,1,0.00e+00,1157,1143,98.79%,6,7-1162,1195395-1194244
"gi|2772222229|gb|CP160631.1| Pantoea sp. Ep11b chromosome, complete genome",3902605,CP160631.1,Pantoea sp,Pantoea,,,complete genome,1,0.00e+00,1157,1143,98.79%,6,7-1162,3416050-3417201
"gi|2772222229|gb|CP160631.1| Pantoea sp. Ep11b chromosome, complete genome",3902605,CP160631.1,Pantoea sp,Pantoea,,,complete genome,1,0.00e+00,1157,1142,98.70%,6,7-1162,672326-671175
"gi|2772222229|gb|CP160631.1| Pantoea sp. Ep11b chromosome, complete genome",3902605,CP160631.1,Pantoea sp,Pantoea,,,complete genome,1,0.00e+00,1157,1138,98.36%,6,7-1162,3402-4553
"gi|2772222229|gb|CP160631.1| Pantoea sp. Ep11b chromosome, complete genome",3902605,CP160631.1,Pantoea sp,Pantoea,,,complete genome,1,0.00e+00,1157,1138,98.36%,6,7-1162,635680-634529
"gi|2950057730|gb|PV448656.1| Pantoea sp. KXB24 16S ribosomal RNA gene, partial sequence >gi|2950057731|gb|PV448657.1| Pantoea sp. KXB25 16S ribosomal RNA gene, partial sequence",1545,PV448656.1,Pantoea sp,Pantoea,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1157,1143,98.79%,6,7-1162,1472-321
"gi|627796339|gb|KJ607211.1| Pantoea sp. 155a 16S ribosomal RNA gene, partial sequence",1245,KJ607211.1,Pantoea sp,Pantoea,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1147,1136,99.04%,5,16-1162,1245-104
"gi|2983303255|gb|PV668823.1| Pantoea sp. strain NSTU24 16S ribosomal RNA gene, partial sequence",1416,PV668823.1,Pantoea sp,Pantoea,strain NSTU24,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1132,99.04%,5,20-1162,1416-279
"gi|1377545286|gb|MF135179.1| Pantoea sp. strain F13 16S ribosomal RNA gene, partial sequence",1400,MF135179.1,Pantoea sp,Pantoea,strain F13,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1148,1135,98.87%,5,15-1162,1400-258
"gi|2073018800|gb|MZ642687.1| Pantoea brenneri strain PDW963 16S ribosomal RNA gene, partial sequence",1214,MZ642687.1,Pantoea brenneri,Pantoea,strain PDW963,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1157,1141,98.62%,6,7-1162,1214-63
"gi|441422404|gb|KC236729.1| Pantoea sp. A1076 16S ribosomal RNA gene, partial sequence",1462,KC236729.1,Pantoea sp,Pantoea,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1157,1141,98.62%,6,7-1162,1442-291
"gi|1605306968|gb|MK415031.1| Pantoea sp. strain IAE82 16S ribosomal RNA gene, partial sequence",1451,MK415031.1,Pantoea sp,Pantoea,strain IAE82,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1151,1137,98.78%,5,12-1162,1451-306
"gi|441422407|gb|KC236732.1| Pantoea sp. A1096 16S ribosomal RNA gene, partial sequence",1464,KC236732.1,Pantoea sp,Pantoea,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1157,1141,98.62%,6,7-1162,1444-293
"gi|441422401|gb|KC236726.1| Pantoea sp. A1067 16S ribosomal RNA gene, partial sequence",1462,KC236726.1,Pantoea sp,Pantoea,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1157,1141,98.62%,6,7-1162,1442-291
"gi|1605306967|gb|MK415030.1| Pantoea sp. strain IAE81 16S ribosomal RNA gene, partial sequence",1450,MK415030.1,Pantoea sp,Pantoea,strain IAE81,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1154,1139,98.70%,6,9-1162,1450-303
"gi|2470398239|gb|OQ708967.1| Pantoea agglomerans strain 20 16S ribosomal RNA gene, partial sequence",1439,OQ708967.1,Pantoea agglomerans,Pantoea,strain 20,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1161,1143,98.45%,6,3-1162,1436-281
