标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2625929226|gb|OR899284.1| Acidovorax sp. strain LS8 16S ribosomal RNA gene, partial sequence",1398,OR899284.1,Acidovorax sp,Acidovorax,strain LS8,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1163,1147,98.62%,9,8-1170,1391-238
"gi|1608347022|gb|MK757665.1| Acidovorax sp. strain 816OP6 16S ribosomal RNA gene, partial sequence >gi|1752957141|gb|MN519578.1| Acidovorax sp. strain A16OP12 16S ribosomal RNA gene, partial sequence",1431,MK757665.1,Acidovorax sp,Acidovorax,strain 816OP6,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1162,1146,98.62%,9,9-1170,1420-268
"gi|239505228|gb|FJ605421.1| Acidovorax sp. PPs-5 16S ribosomal RNA gene, partial sequence",1417,FJ605421.1,Acidovorax sp,Acidovorax,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1162,1146,98.62%,9,9-1170,1415-263
"gi|2442619374|gb|CP117193.1| Acidovorax temperans strain LMJ chromosome, complete genome",4510507,CP117193.1,Acidovorax temperans,Acidovorax,strain LMJ,,complete genome,1,0.00e+00,1163,1146,98.54%,10,9-1170,324580-323427
"gi|2442619374|gb|CP117193.1| Acidovorax temperans strain LMJ chromosome, complete genome",4510507,CP117193.1,Acidovorax temperans,Acidovorax,strain LMJ,,complete genome,1,0.00e+00,1163,1146,98.54%,10,9-1170,686160-685007
"gi|2442619374|gb|CP117193.1| Acidovorax temperans strain LMJ chromosome, complete genome",4510507,CP117193.1,Acidovorax temperans,Acidovorax,strain LMJ,,complete genome,1,0.00e+00,1163,1146,98.54%,10,9-1170,1125459-1124306
"gi|2442619374|gb|CP117193.1| Acidovorax temperans strain LMJ chromosome, complete genome",4510507,CP117193.1,Acidovorax temperans,Acidovorax,strain LMJ,,complete genome,1,0.00e+00,1144,1133,99.04%,8,9-1151,2145550-2146686
gi|2700484197|gb|CP147774.1| Acidovorax temperans strain AA22 chromosome,4134562,CP147774.1,Acidovorax temperans,Acidovorax,strain AA22,,,1,0.00e+00,1163,1146,98.54%,10,9-1170,2500172-2499019
gi|2700484197|gb|CP147774.1| Acidovorax temperans strain AA22 chromosome,4134562,CP147774.1,Acidovorax temperans,Acidovorax,strain AA22,,,1,0.00e+00,1163,1146,98.54%,10,9-1170,2744279-2743126
gi|2700484197|gb|CP147774.1| Acidovorax temperans strain AA22 chromosome,4134562,CP147774.1,Acidovorax temperans,Acidovorax,strain AA22,,,1,0.00e+00,1163,1146,98.54%,10,9-1170,3293343-3292190
gi|2700484197|gb|CP147774.1| Acidovorax temperans strain AA22 chromosome,4134562,CP147774.1,Acidovorax temperans,Acidovorax,strain AA22,,,1,0.00e+00,1163,1146,98.54%,10,9-1170,3849118-3847965
"gi|1042707663|gb|KX509069.1| Uncultured bacterium clone MTWL201208-42 16S ribosomal RNA gene, partial sequence",1490,KX509069.1,Uncultured bacterium,Uncultured,clone MTWL201208-42,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1163,1146,98.54%,10,9-1170,1449-296
"gi|2062387292|gb|MZ490665.1| Acidovorax sp. strain AC3-3 F31NE 16S ribosomal RNA gene, partial sequence",1397,MZ490665.1,Acidovorax sp,Acidovorax,strain AC3-3,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1160,1144,98.62%,9,11-1170,1397-247
