标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|815750010|gb|KP260479.1| Edwardsiella tarda strain TANX 16S ribosomal RNA gene, partial sequence",1447,KP260479.1,Edwardsiella tarda,Edwardsiella,strain TANX,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1068,1068,100.00%,0,6-1073,1438-371
"gi|3032004344|gb|CP196230.1| Edwardsiella tarda strain 3558 chromosome, complete genome",3611986,CP196230.1,Edwardsiella tarda,Edwardsiella,strain 3558,,complete genome,1,0.00e+00,1068,1067,99.91%,1,7-1073,662802-661735
"gi|3032004344|gb|CP196230.1| Edwardsiella tarda strain 3558 chromosome, complete genome",3611986,CP196230.1,Edwardsiella tarda,Edwardsiella,strain 3558,,complete genome,1,0.00e+00,1068,1067,99.91%,1,7-1073,3509221-3510288
"gi|3032004344|gb|CP196230.1| Edwardsiella tarda strain 3558 chromosome, complete genome",3611986,CP196230.1,Edwardsiella tarda,Edwardsiella,strain 3558,,complete genome,1,0.00e+00,1068,1066,99.81%,1,7-1073,304927-303860
"gi|3032004344|gb|CP196230.1| Edwardsiella tarda strain 3558 chromosome, complete genome",3611986,CP196230.1,Edwardsiella tarda,Edwardsiella,strain 3558,,complete genome,1,0.00e+00,1068,1066,99.81%,1,7-1073,315504-314437
"gi|3032004344|gb|CP196230.1| Edwardsiella tarda strain 3558 chromosome, complete genome",3611986,CP196230.1,Edwardsiella tarda,Edwardsiella,strain 3558,,complete genome,1,0.00e+00,1068,1066,99.81%,1,7-1073,2982299-2983366
"gi|3032004344|gb|CP196230.1| Edwardsiella tarda strain 3558 chromosome, complete genome",3611986,CP196230.1,Edwardsiella tarda,Edwardsiella,strain 3558,,complete genome,1,0.00e+00,1068,1066,99.81%,1,7-1073,3563494-3564561
"gi|3032004344|gb|CP196230.1| Edwardsiella tarda strain 3558 chromosome, complete genome",3611986,CP196230.1,Edwardsiella tarda,Edwardsiella,strain 3558,,complete genome,1,0.00e+00,1068,1065,99.72%,1,7-1073,310215-309148
"gi|3032004344|gb|CP196230.1| Edwardsiella tarda strain 3558 chromosome, complete genome",3611986,CP196230.1,Edwardsiella tarda,Edwardsiella,strain 3558,,complete genome,1,0.00e+00,1068,1065,99.72%,1,7-1073,3355110-3356177
"gi|3032004344|gb|CP196230.1| Edwardsiella tarda strain 3558 chromosome, complete genome",3611986,CP196230.1,Edwardsiella tarda,Edwardsiella,strain 3558,,complete genome,1,0.00e+00,1068,1065,99.72%,1,7-1073,3388441-3389508
"gi|1253307583|gb|CP023706.1| Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome",3638764,CP023706.1,Edwardsiella tarda,Edwardsiella,strain KC-Pc-HB1,,complete genome,1,0.00e+00,1068,1067,99.91%,1,7-1073,2037203-2036136
"gi|1253307583|gb|CP023706.1| Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome",3638764,CP023706.1,Edwardsiella tarda,Edwardsiella,strain KC-Pc-HB1,,complete genome,1,0.00e+00,1068,1067,99.91%,1,7-1073,2042491-2041424
"gi|1253307583|gb|CP023706.1| Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome",3638764,CP023706.1,Edwardsiella tarda,Edwardsiella,strain KC-Pc-HB1,,complete genome,1,0.00e+00,1068,1067,99.91%,1,7-1073,2409756-2408689
"gi|1253307583|gb|CP023706.1| Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome",3638764,CP023706.1,Edwardsiella tarda,Edwardsiella,strain KC-Pc-HB1,,complete genome,1,0.00e+00,1068,1065,99.72%,1,7-1073,1081955-1083022
"gi|1253307583|gb|CP023706.1| Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome",3638764,CP023706.1,Edwardsiella tarda,Edwardsiella,strain KC-Pc-HB1,,complete genome,1,0.00e+00,1068,1065,99.72%,1,7-1073,1485719-1486786
"gi|1253307583|gb|CP023706.1| Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome",3638764,CP023706.1,Edwardsiella tarda,Edwardsiella,strain KC-Pc-HB1,,complete genome,1,0.00e+00,1068,1065,99.72%,1,7-1073,1519052-1520119
"gi|1253307583|gb|CP023706.1| Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome",3638764,CP023706.1,Edwardsiella tarda,Edwardsiella,strain KC-Pc-HB1,,complete genome,1,0.00e+00,1068,1065,99.72%,1,7-1073,1639221-1640288
"gi|1253307583|gb|CP023706.1| Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome",3638764,CP023706.1,Edwardsiella tarda,Edwardsiella,strain KC-Pc-HB1,,complete genome,1,0.00e+00,1068,1065,99.72%,1,7-1073,1693561-1694628
"gi|1253307583|gb|CP023706.1| Edwardsiella tarda strain KC-Pc-HB1 chromosome, complete genome",3638764,CP023706.1,Edwardsiella tarda,Edwardsiella,strain KC-Pc-HB1,,complete genome,1,0.00e+00,1068,1065,99.72%,1,7-1073,2047779-2046712
gi|1994028576|gb|CP070604.1| Edwardsiella tarda strain Colony44 chromosome,3638764,CP070604.1,Edwardsiella tarda,Edwardsiella,strain Colony44,,,1,0.00e+00,1068,1067,99.91%,1,7-1073,2037203-2036136
