标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|3000152373|gb|CP158824.1| Providencia alcalifaciens strain PRO1 chromosome, complete genome",4287699,CP158824.1,Providencia alcalifaciens,Providencia,strain PRO1,,complete genome,1,0.00e+00,1120,1113,99.38%,4,6-1124,3315709-3316825
"gi|3000152373|gb|CP158824.1| Providencia alcalifaciens strain PRO1 chromosome, complete genome",4287699,CP158824.1,Providencia alcalifaciens,Providencia,strain PRO1,,complete genome,1,0.00e+00,1123,1114,99.20%,4,6-1127,69757-68638
"gi|3000152373|gb|CP158824.1| Providencia alcalifaciens strain PRO1 chromosome, complete genome",4287699,CP158824.1,Providencia alcalifaciens,Providencia,strain PRO1,,complete genome,1,0.00e+00,1123,1114,99.20%,4,6-1127,649890-648771
"gi|3000152373|gb|CP158824.1| Providencia alcalifaciens strain PRO1 chromosome, complete genome",4287699,CP158824.1,Providencia alcalifaciens,Providencia,strain PRO1,,complete genome,1,0.00e+00,1123,1114,99.20%,4,6-1127,1088506-1087387
"gi|3000152373|gb|CP158824.1| Providencia alcalifaciens strain PRO1 chromosome, complete genome",4287699,CP158824.1,Providencia alcalifaciens,Providencia,strain PRO1,,complete genome,1,0.00e+00,1123,1113,99.11%,4,6-1127,446061-444942
"gi|3000152373|gb|CP158824.1| Providencia alcalifaciens strain PRO1 chromosome, complete genome",4287699,CP158824.1,Providencia alcalifaciens,Providencia,strain PRO1,,complete genome,1,0.00e+00,1120,1111,99.20%,4,6-1124,4111644-4112760
"gi|3000152373|gb|CP158824.1| Providencia alcalifaciens strain PRO1 chromosome, complete genome",4287699,CP158824.1,Providencia alcalifaciens,Providencia,strain PRO1,,complete genome,1,0.00e+00,1120,1111,99.20%,4,6-1124,4147443-4148559
"gi|2096189223|emb|OU659150.1| Providencia alcalifaciens strain 2019-04-29290-1-7 genome assembly, chromosome: 1",4064387,OU659150.1,Providencia alcalifaciens,Providencia,strain 2019-04-29290-1-7,,,1,0.00e+00,1123,1115,99.29%,4,6-1127,69741-68622
"gi|2096189223|emb|OU659150.1| Providencia alcalifaciens strain 2019-04-29290-1-7 genome assembly, chromosome: 1",4064387,OU659150.1,Providencia alcalifaciens,Providencia,strain 2019-04-29290-1-7,,,1,0.00e+00,1123,1115,99.29%,4,6-1127,418507-417388
"gi|2096189223|emb|OU659150.1| Providencia alcalifaciens strain 2019-04-29290-1-7 genome assembly, chromosome: 1",4064387,OU659150.1,Providencia alcalifaciens,Providencia,strain 2019-04-29290-1-7,,,1,0.00e+00,1123,1115,99.29%,4,6-1127,625562-624443
"gi|2096189223|emb|OU659150.1| Providencia alcalifaciens strain 2019-04-29290-1-7 genome assembly, chromosome: 1",4064387,OU659150.1,Providencia alcalifaciens,Providencia,strain 2019-04-29290-1-7,,,1,0.00e+00,1123,1115,99.29%,4,6-1127,1047439-1046320
"gi|2096189223|emb|OU659150.1| Providencia alcalifaciens strain 2019-04-29290-1-7 genome assembly, chromosome: 1",4064387,OU659150.1,Providencia alcalifaciens,Providencia,strain 2019-04-29290-1-7,,,1,0.00e+00,1120,1113,99.38%,4,6-1124,3211474-3212590
"gi|2096189223|emb|OU659150.1| Providencia alcalifaciens strain 2019-04-29290-1-7 genome assembly, chromosome: 1",4064387,OU659150.1,Providencia alcalifaciens,Providencia,strain 2019-04-29290-1-7,,,1,0.00e+00,1120,1113,99.38%,4,6-1124,3882936-3884052
"gi|2096189223|emb|OU659150.1| Providencia alcalifaciens strain 2019-04-29290-1-7 genome assembly, chromosome: 1",4064387,OU659150.1,Providencia alcalifaciens,Providencia,strain 2019-04-29290-1-7,,,1,0.00e+00,1120,1113,99.38%,4,6-1124,3918737-3919853
"gi|1403596628|emb|LS483467.1| Providencia alcalifaciens strain NCTC10286 genome assembly, chromosome: 1",4042926,LS483467.1,Providencia alcalifaciens,Providencia,strain NCTC10286,,,1,0.00e+00,1123,1115,99.29%,4,6-1127,421171-420052
"gi|1403596628|emb|LS483467.1| Providencia alcalifaciens strain NCTC10286 genome assembly, chromosome: 1",4042926,LS483467.1,Providencia alcalifaciens,Providencia,strain NCTC10286,,,1,0.00e+00,1123,1114,99.20%,4,6-1127,69846-68727
"gi|1403596628|emb|LS483467.1| Providencia alcalifaciens strain NCTC10286 genome assembly, chromosome: 1",4042926,LS483467.1,Providencia alcalifaciens,Providencia,strain NCTC10286,,,1,0.00e+00,1123,1114,99.20%,4,6-1127,628528-627409
"gi|1403596628|emb|LS483467.1| Providencia alcalifaciens strain NCTC10286 genome assembly, chromosome: 1",4042926,LS483467.1,Providencia alcalifaciens,Providencia,strain NCTC10286,,,1,0.00e+00,1123,1114,99.20%,4,6-1127,1007769-1006650
"gi|1403596628|emb|LS483467.1| Providencia alcalifaciens strain NCTC10286 genome assembly, chromosome: 1",4042926,LS483467.1,Providencia alcalifaciens,Providencia,strain NCTC10286,,,1,0.00e+00,1120,1112,99.29%,4,6-1124,3241523-3242639
"gi|1403596628|emb|LS483467.1| Providencia alcalifaciens strain NCTC10286 genome assembly, chromosome: 1",4042926,LS483467.1,Providencia alcalifaciens,Providencia,strain NCTC10286,,,1,0.00e+00,1121,1113,99.29%,5,6-1124,3868100-3869217
