标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2305901757|gb|OP476500.1| Aeromonas veronii strain AV2009 16S ribosomal RNA gene, partial sequence",1443,OP476500.1,Aeromonas veronii,Aeromonas,strain AV2009,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1131,98.95%,3,4-1143,1437-295
"gi|2428898243|gb|OQ283657.1| Aeromonas veronii strain GALS2 16S ribosomal RNA gene, partial sequence",1439,OQ283657.1,Aeromonas veronii,Aeromonas,strain GALS2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1131,98.95%,3,4-1143,1436-294
"gi|1236048998|gb|MF716700.1| Aeromonas veronii strain DC2-2-1 16S ribosomal RNA gene, partial sequence",1435,MF716700.1,Aeromonas veronii,Aeromonas,strain DC2-2-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1131,98.95%,4,4-1143,1431-290
"gi|2593243343|gb|OR687219.1| Aeromonas veronii strain 243 16S ribosomal RNA gene, partial sequence",1441,OR687219.1,Aeromonas veronii,Aeromonas,strain 243,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1131,98.95%,3,4-1143,1438-296
"gi|2428898266|gb|OQ283680.1| Aeromonas veronii strain 202108FCC 16S ribosomal RNA gene, partial sequence",1441,OQ283680.1,Aeromonas veronii,Aeromonas,strain 202108FCC,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1131,98.95%,3,4-1143,1438-296
"gi|2428898235|gb|OQ283649.1| Aeromonas veronii strain YTDWN 16S ribosomal RNA gene, partial sequence",1439,OQ283649.1,Aeromonas veronii,Aeromonas,strain YTDWN,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1131,98.95%,4,4-1143,1439-298
"gi|239619165|gb|GQ205446.1| Aeromonas sobria strain LD081008A-1 16S ribosomal RNA gene, partial sequence",1444,GQ205446.1,Aeromonas sobria,Aeromonas,strain LD081008A-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1131,98.95%,3,4-1143,1439-297
"gi|2288062848|gb|OP268346.1| Uncultured Aeromonas sp. clone AS0829L1 16S ribosomal RNA gene, partial sequence",1452,OP268346.1,Uncultured,Uncultured,clone AS0829L1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1133,98.87%,4,2-1143,1445-300
"gi|1752957137|gb|MN519574.1| Aeromonas sp. strain A16OP7 16S ribosomal RNA gene, partial sequence",1451,MN519574.1,Aeromonas sp,Aeromonas,strain A16OP7,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1145,1132,98.86%,4,3-1143,1446-302
"gi|1806508530|gb|MT026965.1| Aeromonas sp. strain Q16OP8 16S ribosomal RNA gene, partial sequence",1451,MT026965.1,Aeromonas sp,Aeromonas,strain Q16OP8,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1145,1132,98.86%,4,3-1143,1446-302
"gi|472247121|gb|KC573782.1| Aeromonas sobria strain GX-1 16S ribosomal RNA gene, partial sequence",1444,KC573782.1,Aeromonas sobria,Aeromonas,strain GX-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1145,1132,98.86%,4,3-1143,1440-296
"gi|2221269147|gb|ON203099.1| Aeromonas veronii strain CH-GX-FC-3-1A-2021 16S ribosomal RNA gene, partial sequence",1440,ON203099.1,Aeromonas veronii,Aeromonas,strain CH-GX-FC-3-1A-2021,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1131,98.86%,4,4-1143,1437-294
"gi|2705458461|gb|PP549632.1| Aeromonas veronii strain BLS1 16S ribosomal RNA gene, partial sequence",1435,PP549632.1,Aeromonas veronii,Aeromonas,strain BLS1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1131,98.86%,4,4-1143,1432-289
"gi|2593243345|gb|OR687221.1| Aeromonas veronii strain 245 16S ribosomal RNA gene, partial sequence",1441,OR687221.1,Aeromonas veronii,Aeromonas,strain 245,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1131,98.86%,4,4-1143,1438-295
"gi|2437729245|gb|OQ352594.1| Aeromonas sp. strain ssqy1 16S ribosomal RNA gene, partial sequence",1445,OQ352594.1,Aeromonas sp,Aeromonas,strain ssqy1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1131,98.86%,4,4-1143,1439-296
"gi|2781182639|gb|PQ119097.1| Aeromonas sp. strain NT_S65R 16S ribosomal RNA gene, partial sequence",1132,PQ119097.1,Aeromonas sp,Aeromonas,strain NT_S65R,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1131,1122,99.20%,2,15-1143,1131-1
"gi|2221269142|gb|ON203108.1| Aeromonas veronii strain CH-GX-YL-YZ-R-2-2021 16S ribosomal RNA gene, partial sequence",1439,ON203108.1,Aeromonas veronii,Aeromonas,strain CH-GX-YL-YZ-R-2-2021,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1131,98.86%,4,4-1143,1437-294
"gi|2428898242|gb|OQ283656.1| Aeromonas veronii strain GALS1 16S ribosomal RNA gene, partial sequence",1440,OQ283656.1,Aeromonas veronii,Aeromonas,strain GALS1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1130,98.86%,3,4-1143,1437-295
"gi|2605100393|gb|OR740576.1| Aeromonas veronii strain S36B 16S ribosomal RNA gene, partial sequence",1194,OR740576.1,Aeromonas veronii,Aeromonas,strain S36B,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1132,1123,99.20%,3,15-1143,1176-45
"gi|1159249638|gb|KY767498.1| Aeromonas veronii strain YH16103 16S ribosomal RNA gene, partial sequence",1433,KY767498.1,Aeromonas veronii,Aeromonas,strain YH16103,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1142,1129,98.86%,4,6-1143,1430-289
