标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2288118678|gb|OP268528.1| Stenotrophomonas sp. strain FX0033 16S ribosomal RNA gene, partial sequence",1453,OP268528.1,Stenotrophomonas sp,Stenotrophomonas,strain FX0033,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1092,1091,99.91%,0,2-1093,1442-351
"gi|1622984829|gb|MK825027.1| Bacterium strain BS1839 16S ribosomal RNA gene, partial sequence",1451,MK825027.1,Bacterium,Bacterium,strain BS1839,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1087,1087,100.00%,0,7-1093,1439-353
"gi|2240889099|gb|ON556407.1| Stenotrophomonas maltophilia strain B-4 16S ribosomal RNA gene, partial sequence",1449,ON556407.1,Stenotrophomonas maltophilia,Stenotrophomonas,strain B-4,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1087,1087,100.00%,0,7-1093,1437-351
"gi|2232553224|gb|ON387288.1| Bacterium strain ZJ08 16S ribosomal RNA gene, partial sequence",1439,ON387288.1,Bacterium,Bacterium,strain ZJ08,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1087,1087,100.00%,0,7-1093,1431-345
"gi|2152693080|gb|OL546774.1| Stenotrophomonas sp. strain R30 16S ribosomal RNA gene, partial sequence",1449,OL546774.1,Stenotrophomonas sp,Stenotrophomonas,strain R30,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1087,1087,100.00%,0,7-1093,1439-353
"gi|1622984592|gb|MK824790.1| Bacterium strain BS1602 16S ribosomal RNA gene, partial sequence",1445,MK824790.1,Bacterium,Bacterium,strain BS1602,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1087,1087,100.00%,0,7-1093,1434-348
"gi|1847494363|gb|MT543133.1| Stenotrophomonas sp. strain HBUM206334 16S ribosomal RNA gene, partial sequence",1449,MT543133.1,Stenotrophomonas sp,Stenotrophomonas,strain HBUM206334,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1087,1087,100.00%,0,7-1093,1438-352
"gi|1622984762|gb|MK824960.1| Bacterium strain BS1772 16S ribosomal RNA gene, partial sequence",1450,MK824960.1,Bacterium,Bacterium,strain BS1772,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1087,1087,100.00%,0,7-1093,1437-351
"gi|1622984609|gb|MK824807.1| Bacterium strain BS1619 16S ribosomal RNA gene, partial sequence",1447,MK824807.1,Bacterium,Bacterium,strain BS1619,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1087,1087,100.00%,0,7-1093,1435-349
"gi|1622984717|gb|MK824915.1| Bacterium strain BS1727 16S ribosomal RNA gene, partial sequence",1446,MK824915.1,Bacterium,Bacterium,strain BS1727,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1087,1087,100.00%,0,7-1093,1433-347
"gi|2231294500|gb|ON357998.1| Stenotrophomonas maltophilia strain 8 16S ribosomal RNA gene, partial sequence",1454,ON357998.1,Stenotrophomonas maltophilia,Stenotrophomonas,strain 8,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1087,1087,100.00%,0,7-1093,1439-353
