标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|1032563617|gb|KX147681.1| Bacterium CX-1 16S ribosomal RNA gene, partial sequence",1416,KX147681.1,Bacterium,Bacterium,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1140,1120,98.25%,7,4-1136,1416-277
"gi|1988229136|gb|MW618172.1| Klebsiella pneumoniae strain FFNL3155 16S ribosomal RNA gene, partial sequence",1438,MW618172.1,Klebsiella pneumoniae,Klebsiella,strain FFNL3155,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1141,1120,98.16%,8,4-1136,1432-292
"gi|1707884386|gb|MN208189.1| Klebsiella pneumoniae strain 180-a blue 16S ribosomal RNA gene, partial sequence",1440,MN208189.1,Klebsiella pneumoniae,Klebsiella,strain 180-a,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1141,1120,98.16%,8,3-1136,1434-295
"gi|660083057|gb|KJ803932.1| Klebsiella sp. CCFM8375 16S ribosomal RNA gene, partial sequence",1427,KJ803932.1,Klebsiella sp,Klebsiella,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1141,1120,98.16%,7,3-1136,1424-284
gi|2785574766|gb|CP165911.1| Klebsiella pneumoniae subsp. pneumoniae strain M7173549 chromosome,5504577,CP165911.1,Klebsiella pneumoniae,Klebsiella,strain M7173549,,,1,0.00e+00,1140,1119,98.16%,8,5-1136,1486580-1487719
gi|2785574766|gb|CP165911.1| Klebsiella pneumoniae subsp. pneumoniae strain M7173549 chromosome,5504577,CP165911.1,Klebsiella pneumoniae,Klebsiella,strain M7173549,,,1,0.00e+00,1140,1119,98.16%,8,5-1136,1578451-1579590
gi|2785574766|gb|CP165911.1| Klebsiella pneumoniae subsp. pneumoniae strain M7173549 chromosome,5504577,CP165911.1,Klebsiella pneumoniae,Klebsiella,strain M7173549,,,1,0.00e+00,1140,1119,98.16%,8,5-1136,1682898-1684037
gi|2785574766|gb|CP165911.1| Klebsiella pneumoniae subsp. pneumoniae strain M7173549 chromosome,5504577,CP165911.1,Klebsiella pneumoniae,Klebsiella,strain M7173549,,,1,0.00e+00,1140,1115,97.81%,8,5-1136,3055448-3054309
gi|2785574766|gb|CP165911.1| Klebsiella pneumoniae subsp. pneumoniae strain M7173549 chromosome,5504577,CP165911.1,Klebsiella pneumoniae,Klebsiella,strain M7173549,,,1,0.00e+00,1140,1114,97.72%,8,5-1136,696256-697395
gi|2785574766|gb|CP165911.1| Klebsiella pneumoniae subsp. pneumoniae strain M7173549 chromosome,5504577,CP165911.1,Klebsiella pneumoniae,Klebsiella,strain M7173549,,,1,0.00e+00,1140,1114,97.72%,8,5-1136,2190282-2189143
gi|2785574766|gb|CP165911.1| Klebsiella pneumoniae subsp. pneumoniae strain M7173549 chromosome,5504577,CP165911.1,Klebsiella pneumoniae,Klebsiella,strain M7173549,,,1,0.00e+00,1140,1112,97.54%,8,5-1136,1070256-1071395
gi|2785574766|gb|CP165911.1| Klebsiella pneumoniae subsp. pneumoniae strain M7173549 chromosome,5504577,CP165911.1,Klebsiella pneumoniae,Klebsiella,strain M7173549,,,1,0.00e+00,1140,1110,97.37%,8,5-1136,1441449-1442588
"gi|2944012554|gb|CP185007.1| Klebsiella pneumoniae strain AMC20-1A chromosome, complete genome",5491210,CP185007.1,Klebsiella pneumoniae,Klebsiella,strain AMC20-1A,,complete genome,1,0.00e+00,1140,1119,98.16%,8,5-1136,757378-758517
"gi|2944012554|gb|CP185007.1| Klebsiella pneumoniae strain AMC20-1A chromosome, complete genome",5491210,CP185007.1,Klebsiella pneumoniae,Klebsiella,strain AMC20-1A,,complete genome,1,0.00e+00,1140,1118,98.07%,8,5-1136,1267107-1265968
"gi|2944012554|gb|CP185007.1| Klebsiella pneumoniae strain AMC20-1A chromosome, complete genome",5491210,CP185007.1,Klebsiella pneumoniae,Klebsiella,strain AMC20-1A,,complete genome,1,0.00e+00,1140,1118,98.07%,8,5-1136,1371554-1370415
"gi|2944012554|gb|CP185007.1| Klebsiella pneumoniae strain AMC20-1A chromosome, complete genome",5491210,CP185007.1,Klebsiella pneumoniae,Klebsiella,strain AMC20-1A,,complete genome,1,0.00e+00,1140,1118,98.07%,8,5-1136,5404285-5405424
"gi|2944012554|gb|CP185007.1| Klebsiella pneumoniae strain AMC20-1A chromosome, complete genome",5491210,CP185007.1,Klebsiella pneumoniae,Klebsiella,strain AMC20-1A,,complete genome,1,0.00e+00,1140,1117,97.98%,8,5-1136,1463426-1462287
"gi|2944012554|gb|CP185007.1| Klebsiella pneumoniae strain AMC20-1A chromosome, complete genome",5491210,CP185007.1,Klebsiella pneumoniae,Klebsiella,strain AMC20-1A,,complete genome,1,0.00e+00,1140,1113,97.63%,8,5-1136,2254531-2253392
"gi|2944012554|gb|CP185007.1| Klebsiella pneumoniae strain AMC20-1A chromosome, complete genome",5491210,CP185007.1,Klebsiella pneumoniae,Klebsiella,strain AMC20-1A,,complete genome,1,0.00e+00,1140,1112,97.54%,8,5-1136,1882191-1881052
"gi|2944012554|gb|CP185007.1| Klebsiella pneumoniae strain AMC20-1A chromosome, complete genome",5491210,CP185007.1,Klebsiella pneumoniae,Klebsiella,strain AMC20-1A,,complete genome,1,0.00e+00,1140,1110,97.37%,8,5-1136,1508556-1507417
