标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|1752957137|gb|MN519574.1| Aeromonas sp. strain A16OP7 16S ribosomal RNA gene, partial sequence",1451,MN519574.1,Aeromonas sp,Aeromonas,strain A16OP7,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1105,1105,100.00%,0,4-1108,1446-342
"gi|1806508530|gb|MT026965.1| Aeromonas sp. strain Q16OP8 16S ribosomal RNA gene, partial sequence",1451,MT026965.1,Aeromonas sp,Aeromonas,strain Q16OP8,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1105,1105,100.00%,0,4-1108,1446-342
"gi|472247121|gb|KC573782.1| Aeromonas sobria strain GX-1 16S ribosomal RNA gene, partial sequence",1444,KC573782.1,Aeromonas sobria,Aeromonas,strain GX-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1105,1105,100.00%,0,4-1108,1440-336
"gi|953065610|gb|KT964297.1| Aeromonas veronii strain WX153415 16S ribosomal RNA gene, partial sequence",1438,KT964297.1,Aeromonas veronii,Aeromonas,strain WX153415,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1437-334
"gi|2705458461|gb|PP549632.1| Aeromonas veronii strain BLS1 16S ribosomal RNA gene, partial sequence",1435,PP549632.1,Aeromonas veronii,Aeromonas,strain BLS1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1432-329
"gi|1236049005|gb|MF716707.1| Aeromonas veronii strain JX1-2-2 16S ribosomal RNA gene, partial sequence",1442,MF716707.1,Aeromonas veronii,Aeromonas,strain JX1-2-2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1439-336
"gi|633962253|gb|KJ704986.1| Aeromonas veronii strain A7 16S ribosomal RNA gene, partial sequence",1451,KJ704986.1,Aeromonas veronii,Aeromonas,strain A7,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1444-341
"gi|469475951|gb|KC166864.1| Aeromonas veronii strain DCH-1 16S ribosomal RNA gene, partial sequence",1440,KC166864.1,Aeromonas veronii,Aeromonas,strain DCH-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1438-335
"gi|2593243345|gb|OR687221.1| Aeromonas veronii strain 245 16S ribosomal RNA gene, partial sequence",1441,OR687221.1,Aeromonas veronii,Aeromonas,strain 245,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1438-335
"gi|329745501|gb|JF490064.1| Aeromonas veronii strain w-s-04 16S ribosomal RNA gene, partial sequence",1437,JF490064.1,Aeromonas veronii,Aeromonas,strain w-s-04,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1434-331
"gi|2437729245|gb|OQ352594.1| Aeromonas sp. strain ssqy1 16S ribosomal RNA gene, partial sequence",1445,OQ352594.1,Aeromonas sp,Aeromonas,strain ssqy1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1439-336
"gi|855199129|gb|KT026457.1| Aeromonas veronii strain CIFA OPR4/14 16S ribosomal RNA gene, partial sequence",1220,KT026457.1,Aeromonas veronii,Aeromonas,strain CIFA,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1215-112
"gi|2221269142|gb|ON203108.1| Aeromonas veronii strain CH-GX-YL-YZ-R-2-2021 16S ribosomal RNA gene, partial sequence",1439,ON203108.1,Aeromonas veronii,Aeromonas,strain CH-GX-YL-YZ-R-2-2021,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1437-334
"gi|1061984740|gb|KX585901.1| Aeromonas veronii strain QD160502 16S ribosomal RNA gene, partial sequence",1441,KX585901.1,Aeromonas veronii,Aeromonas,strain QD160502,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1437-334
"gi|1159249647|gb|KY767507.1| Aeromonas veronii strain NX16104 16S ribosomal RNA gene, partial sequence",1442,KY767507.1,Aeromonas veronii,Aeromonas,strain NX16104,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1439-336
"gi|2221258499|gb|ON203032.1| Aeromonas hydrophila strain CH-GX-YL-DB-1-2021 16S ribosomal RNA gene, partial sequence",1439,ON203032.1,Aeromonas hydrophila,Aeromonas,strain CH-GX-YL-DB-1-2021,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1104,1104,100.00%,0,5-1108,1437-334
"gi|2287256188|gb|OP236549.1| Aeromonas sp. strain L1 16S ribosomal RNA gene, partial sequence",1455,OP236549.1,Aeromonas sp,Aeromonas,strain L1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1103,1103,100.00%,0,6-1108,1445-343
"gi|2425237220|gb|OQ217253.1| Uncultured Aeromonas sp. clone 8-RIF-18 16S ribosomal RNA gene, partial sequence",1432,OQ217253.1,Uncultured,Uncultured,clone 8-RIF-18,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1102,1102,100.00%,0,7-1108,1427-326
"gi|2425237260|gb|OQ217273.1| Uncultured Aeromonas sp. clone 8-FFC-18 16S ribosomal RNA gene, partial sequence",1432,OQ217273.1,Uncultured,Uncultured,clone 8-FFC-18,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1102,1102,100.00%,0,7-1108,1427-326
"gi|2425237196|gb|OQ217241.1| Uncultured Aeromonas sp. clone 8-RIF-6 16S ribosomal RNA gene, partial sequence",1432,OQ217241.1,Uncultured,Uncultured,clone 8-RIF-6,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1102,1102,100.00%,0,7-1108,1427-326
