标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2425237424|gb|OQ217353.1| Uncultured Acinetobacter sp. clone 9-FFC-18 16S ribosomal RNA gene, partial sequence",1442,OQ217353.1,Uncultured,Uncultured,clone 9-FFC-18,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1112,1108,99.64%,2,6-1117,1429-320
"gi|2425133371|gb|OQ216931.1| Acinetobacter sp. strain 20-ERY-19 16S ribosomal RNA gene, partial sequence",1442,OQ216931.1,Acinetobacter sp,Acinetobacter,strain 20-ERY-19,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1112,1108,99.64%,2,6-1117,1428-319
"gi|209552634|gb|FJ373029.1| Acinetobacter lwoffii strain S3-2 16S ribosomal RNA gene, partial sequence",1438,FJ373029.1,Acinetobacter lwoffii,Acinetobacter,strain S3-2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1112,1108,99.64%,2,6-1117,1428-319
"gi|2947725372|gb|PV428859.1| Acinetobacter sp. strain 16S-6.23720163 16S ribosomal RNA gene, partial sequence",1410,PV428859.1,Acinetobacter sp,Acinetobacter,strain 16S-6.23720163,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1111,1107,99.64%,2,7-1117,1410-302
"gi|460908694|gb|KC541035.1| Uncultured bacterium clone RS-A083 16S ribosomal RNA gene, partial sequence",1533,KC541035.1,Uncultured bacterium,Uncultured,clone RS-A083,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1113,1108,99.55%,3,6-1117,1458-348
"gi|386368883|gb|JQ740258.1| Uncultured Acinetobacter sp. clone ASC349 16S ribosomal RNA gene, complete sequence",1514,JQ740258.1,Uncultured,Uncultured,clone ASC349,16S ribosomal RNA gene,complete sequence,1,0.00e+00,1113,1108,99.55%,3,6-1117,1459-349
"gi|1951997931|gb|MW433856.1| Acinetobacter lwoffii strain pJ18 16S ribosomal RNA gene, partial sequence",1498,MW433856.1,Acinetobacter lwoffii,Acinetobacter,strain pJ18,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1113,1108,99.55%,3,6-1117,1459-349
"gi|375161313|gb|JQ638577.1| Acinetobacter sp. CIP 102136 16S ribosomal RNA gene, partial sequence >gi|407080068|gb|JX485813.1| Acinetobacter sp. Ds01 16S ribosomal RNA gene, partial sequence",1464,JQ638577.1,Acinetobacter sp,Acinetobacter,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1113,1108,99.55%,3,6-1117,1431-321
"gi|391380293|gb|JN832944.1| Uncultured bacterium clone B_MO_1E07_OTU1 16S ribosomal RNA gene, partial sequence",1407,JN832944.1,Uncultured bacterium,Uncultured,clone B_MO_1E07_OTU1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1109,1105,99.64%,2,9-1117,1407-301
"gi|2072654753|gb|CP072549.1| Acinetobacter lwoffii strain H7 chromosome, complete genome",3040667,CP072549.1,Acinetobacter lwoffii,Acinetobacter,strain H7,,complete genome,1,0.00e+00,1113,1108,99.55%,3,6-1117,2809846-2808736
