标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|590143637|gb|KF952599.1| Edwardsiella ictaluri strain GYQ 16S ribosomal RNA gene, partial sequence",1444,KF952599.1,Edwardsiella ictaluri,Edwardsiella,strain GYQ,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1117,1116,99.91%,0,4-1120,1440-324
"gi|2236266042|gb|ON459710.1| Edwardsiella ictaluri strain E01 16S ribosomal RNA gene, partial sequence",1443,ON459710.1,Edwardsiella ictaluri,Edwardsiella,strain E01,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1117,1116,99.91%,0,4-1120,1438-322
"gi|2236266044|gb|ON459712.1| Edwardsiella ictaluri strain E05 16S ribosomal RNA gene, partial sequence",1443,ON459712.1,Edwardsiella ictaluri,Edwardsiella,strain E05,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1120,1118,99.82%,1,2-1120,1440-321
"gi|2236266043|gb|ON459711.1| Edwardsiella ictaluri strain E04 16S ribosomal RNA gene, partial sequence",1444,ON459711.1,Edwardsiella ictaluri,Edwardsiella,strain E04,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1118,1116,99.82%,1,4-1120,1438-321
"gi|443500475|gb|KC112992.1| Edwardsiella ictaluri strain Ms12 16S ribosomal RNA gene, partial sequence",1447,KC112992.1,Edwardsiella ictaluri,Edwardsiella,strain Ms12,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1118,1116,99.82%,1,4-1120,1442-325
"gi|326375391|gb|JF274254.1| Edwardsiella ictaluri strain Ei-151 16S ribosomal RNA gene, partial sequence",1420,JF274254.1,Edwardsiella ictaluri,Edwardsiella,strain Ei-151,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1117,1115,99.82%,1,4-1120,1420-305
"gi|2913275187|gb|CP180756.1| Edwardsiella ictaluri strain Curtis chromosome, complete genome",3556410,CP180756.1,Edwardsiella ictaluri,Edwardsiella,strain Curtis,,complete genome,1,0.00e+00,1116,1114,99.82%,1,6-1120,1492313-1493428
"gi|2913275187|gb|CP180756.1| Edwardsiella ictaluri strain Curtis chromosome, complete genome",3556410,CP180756.1,Edwardsiella ictaluri,Edwardsiella,strain Curtis,,complete genome,1,0.00e+00,1116,1114,99.82%,1,6-1120,1497688-1498803
"gi|2913275187|gb|CP180756.1| Edwardsiella ictaluri strain Curtis chromosome, complete genome",3556410,CP180756.1,Edwardsiella ictaluri,Edwardsiella,strain Curtis,,complete genome,1,0.00e+00,1116,1114,99.82%,1,6-1120,2878808-2879923
"gi|2913275187|gb|CP180756.1| Edwardsiella ictaluri strain Curtis chromosome, complete genome",3556410,CP180756.1,Edwardsiella ictaluri,Edwardsiella,strain Curtis,,complete genome,1,0.00e+00,1116,1114,99.82%,1,6-1120,3314300-3315415
"gi|2913275187|gb|CP180756.1| Edwardsiella ictaluri strain Curtis chromosome, complete genome",3556410,CP180756.1,Edwardsiella ictaluri,Edwardsiella,strain Curtis,,complete genome,1,0.00e+00,1116,1114,99.82%,1,6-1120,3348321-3349436
"gi|2913275187|gb|CP180756.1| Edwardsiella ictaluri strain Curtis chromosome, complete genome",3556410,CP180756.1,Edwardsiella ictaluri,Edwardsiella,strain Curtis,,complete genome,1,0.00e+00,1117,1114,99.73%,2,6-1120,1750704-1751820
"gi|2913275187|gb|CP180756.1| Edwardsiella ictaluri strain Curtis chromosome, complete genome",3556410,CP180756.1,Edwardsiella ictaluri,Edwardsiella,strain Curtis,,complete genome,1,0.00e+00,1117,1113,99.64%,2,6-1120,1122831-1123947
"gi|2913275187|gb|CP180756.1| Edwardsiella ictaluri strain Curtis chromosome, complete genome",3556410,CP180756.1,Edwardsiella ictaluri,Edwardsiella,strain Curtis,,complete genome,1,0.00e+00,1135,1100,96.92%,21,6-1120,3553132-3551999
"gi|2913275187|gb|CP180756.1| Edwardsiella ictaluri strain Curtis chromosome, complete genome",3556410,CP180756.1,Edwardsiella ictaluri,Edwardsiella,strain Curtis,,complete genome,1,0.00e+00,716,706,98.60%,4,6-718,1806305-1807019
"gi|2843820657|gb|CP113282.1| Edwardsiella ictaluri strain 12-TAL-294-B4 chromosome, complete genome",3822531,CP113282.1,Edwardsiella ictaluri,Edwardsiella,strain 12-TAL-294-B4,,complete genome,1,0.00e+00,1116,1114,99.82%,1,6-1120,1088964-1090079
"gi|2843820657|gb|CP113282.1| Edwardsiella ictaluri strain 12-TAL-294-B4 chromosome, complete genome",3822531,CP113282.1,Edwardsiella ictaluri,Edwardsiella,strain 12-TAL-294-B4,,complete genome,1,0.00e+00,1116,1114,99.82%,1,6-1120,1523956-1525071
"gi|2843820657|gb|CP113282.1| Edwardsiella ictaluri strain 12-TAL-294-B4 chromosome, complete genome",3822531,CP113282.1,Edwardsiella ictaluri,Edwardsiella,strain 12-TAL-294-B4,,complete genome,1,0.00e+00,1116,1114,99.82%,1,6-1120,1763675-1762560
"gi|2843820657|gb|CP113282.1| Edwardsiella ictaluri strain 12-TAL-294-B4 chromosome, complete genome",3822531,CP113282.1,Edwardsiella ictaluri,Edwardsiella,strain 12-TAL-294-B4,,complete genome,1,0.00e+00,1116,1114,99.82%,1,6-1120,2071343-2070228
"gi|2843820657|gb|CP113282.1| Edwardsiella ictaluri strain 12-TAL-294-B4 chromosome, complete genome",3822531,CP113282.1,Edwardsiella ictaluri,Edwardsiella,strain 12-TAL-294-B4,,complete genome,1,0.00e+00,1117,1114,99.73%,2,6-1120,1518666-1519782
