标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2305901757|gb|OP476500.1| Aeromonas veronii strain AV2009 16S ribosomal RNA gene, partial sequence",1443,OP476500.1,Aeromonas veronii,Aeromonas,strain AV2009,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1077,1077,100.00%,0,7-1083,1435-359
"gi|2305901757|gb|OP476500.1| Aeromonas veronii strain AV2009 16S ribosomal RNA gene, partial sequence",1443,OP476500.1,Aeromonas veronii,Aeromonas,strain AV2009,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1077,1077,100.00%,0,7-1083,1435-359
"gi|2428898243|gb|OQ283657.1| Aeromonas veronii strain GALS2 16S ribosomal RNA gene, partial sequence",1439,OQ283657.1,Aeromonas veronii,Aeromonas,strain GALS2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1077,1077,100.00%,0,7-1083,1434-358
"gi|2425237220|gb|OQ217253.1| Uncultured Aeromonas sp. clone 8-RIF-18 16S ribosomal RNA gene, partial sequence",1432,OQ217253.1,Uncultured,Uncultured,clone 8-RIF-18,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1081,1080,99.91%,1,4-1083,1430-350
"gi|2425237260|gb|OQ217273.1| Uncultured Aeromonas sp. clone 8-FFC-18 16S ribosomal RNA gene, partial sequence",1432,OQ217273.1,Uncultured,Uncultured,clone 8-FFC-18,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1081,1080,99.91%,1,4-1083,1430-350
"gi|2425237196|gb|OQ217241.1| Uncultured Aeromonas sp. clone 8-RIF-6 16S ribosomal RNA gene, partial sequence",1432,OQ217241.1,Uncultured,Uncultured,clone 8-RIF-6,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1081,1080,99.91%,1,4-1083,1430-350
"gi|1806508530|gb|MT026965.1| Aeromonas sp. strain Q16OP8 16S ribosomal RNA gene, partial sequence",1451,MT026965.1,Aeromonas sp,Aeromonas,strain Q16OP8,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1084,1082,99.82%,2,1-1083,1448-366
"gi|2425237190|gb|OQ217238.1| Uncultured Aeromonas sp. clone 8-RIF-3 16S ribosomal RNA gene, partial sequence",1432,OQ217238.1,Uncultured,Uncultured,clone 8-RIF-3,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1081,1080,99.91%,1,4-1083,1430-350
"gi|2593243343|gb|OR687219.1| Aeromonas veronii strain 243 16S ribosomal RNA gene, partial sequence",1441,OR687219.1,Aeromonas veronii,Aeromonas,strain 243,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1077,1077,100.00%,0,7-1083,1436-360
"gi|1015632972|gb|KU937369.1| Aeromonas veronii strain GX6 16S ribosomal RNA gene, partial sequence",1449,KU937369.1,Aeromonas veronii,Aeromonas,strain GX6,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1081,1080,99.91%,1,4-1083,1441-361
