标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2560545092|gb|OR418439.1| Streptococcus iniae strain AQAHMSi1 16S ribosomal RNA gene, partial sequence",1513,OR418439.1,Streptococcus iniae,Streptococcus,strain AQAHMSi1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1127,1124,99.73%,1,7-1133,1470-345
"gi|1706971017|gb|MN194171.1| Streptococcus iniae strain UCD-K3 16S ribosomal RNA gene, partial sequence",1500,MN194171.1,Streptococcus iniae,Streptococcus,strain UCD-K3,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1127,1124,99.73%,1,7-1133,1464-339
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1127,1124,99.73%,1,7-1133,26126-25001
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1127,1124,99.73%,1,7-1133,32226-31101
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1127,1124,99.73%,1,7-1133,88753-87628
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1127,1124,99.73%,1,7-1133,406029-404904
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1127,1124,99.73%,1,7-1133,459598-458473
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1127,1124,99.73%,1,7-1133,1830824-1831949
"gi|1566193409|dbj|LC378581.1| Streptococcus iniae CU/KSC3 gene for 16S ribosomal RNA, partial sequence",1510,LC378581.1,Streptococcus iniae,Streptococcus,,16S ribosomal RNA,partial sequence,1,0.00e+00,1127,1124,99.73%,1,7-1133,1470-345
"gi|1104476190|gb|CP017952.1| Streptococcus iniae strain 89353, complete genome",2098647,CP017952.1,Streptococcus iniae,Streptococcus,strain 89353,,complete genome,1,0.00e+00,1127,1124,99.73%,1,7-1133,27448-26323
"gi|1104476190|gb|CP017952.1| Streptococcus iniae strain 89353, complete genome",2098647,CP017952.1,Streptococcus iniae,Streptococcus,strain 89353,,complete genome,1,0.00e+00,1127,1124,99.73%,1,7-1133,33546-32421
"gi|1104476190|gb|CP017952.1| Streptococcus iniae strain 89353, complete genome",2098647,CP017952.1,Streptococcus iniae,Streptococcus,strain 89353,,complete genome,1,0.00e+00,1127,1124,99.73%,1,7-1133,381324-380199
"gi|1104476190|gb|CP017952.1| Streptococcus iniae strain 89353, complete genome",2098647,CP017952.1,Streptococcus iniae,Streptococcus,strain 89353,,complete genome,1,0.00e+00,1127,1124,99.73%,1,7-1133,433288-432163
