标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|1250245812|gb|MF288077.1| Plesiomonas shigelloides strain FS170522 16S ribosomal RNA gene, partial sequence",1432,MF288077.1,Plesiomonas shigelloides,Plesiomonas,strain FS170522,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1154,1148,99.48%,2,1-1154,1430-279
"gi|1304145551|gb|MG655158.1| Plesiomonas shigelloides strain JL5 16S ribosomal RNA gene, partial sequence",1444,MG655158.1,Plesiomonas shigelloides,Plesiomonas,strain JL5,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1152,1146,99.48%,2,3-1154,1438-289
"gi|1250244446|gb|MF187359.1| Plesiomonas shigelloides strain BY160513 16S ribosomal RNA gene, partial sequence >gi|1353874945|gb|MF100995.1| Plesiomonas shigelloides strain BY160512 16S ribosomal RNA gene, partial sequence",1431,MF187359.1,Plesiomonas shigelloides,Plesiomonas,strain BY160513,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1153,1146,99.39%,2,2-1154,1428-278
"gi|1275509849|gb|MG438544.1| Plesiomonas shigelloides strain BN_1958 16S ribosomal RNA gene, partial sequence",1505,MG438544.1,Plesiomonas shigelloides,Plesiomonas,strain BN_1958,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1150,1144,99.48%,3,6-1154,1464-317
"gi|2656676812|gb|PP195859.1| Plesiomonas sp. strain CH-GX-X0813-2023 16S ribosomal RNA gene, partial sequence",1446,PP195859.1,Plesiomonas sp,Plesiomonas,strain CH-GX-X0813-2023,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1149,1143,99.48%,2,6-1154,1437-291
"gi|110184746|gb|DQ814880.1| Uncultured bacterium clone aab54h07 16S ribosomal RNA gene, partial sequence",1465,DQ814880.1,Uncultured bacterium,Uncultured,clone aab54h07,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1150,1144,99.48%,3,6-1154,1444-297
"gi|1370756710|gb|CP027852.1| Plesiomonas shigelloides strain MS-17-188 chromosome, complete genome",3505422,CP027852.1,Plesiomonas shigelloides,Plesiomonas,strain MS-17-188,,complete genome,1,0.00e+00,1150,1144,99.48%,3,6-1154,2686736-2685589
"gi|1370756710|gb|CP027852.1| Plesiomonas shigelloides strain MS-17-188 chromosome, complete genome",3505422,CP027852.1,Plesiomonas shigelloides,Plesiomonas,strain MS-17-188,,complete genome,1,0.00e+00,1150,1143,99.39%,3,6-1154,3116795-3115648
"gi|1370756710|gb|CP027852.1| Plesiomonas shigelloides strain MS-17-188 chromosome, complete genome",3505422,CP027852.1,Plesiomonas shigelloides,Plesiomonas,strain MS-17-188,,complete genome,1,0.00e+00,1150,1142,99.30%,3,6-1154,185248-184101
"gi|1370756710|gb|CP027852.1| Plesiomonas shigelloides strain MS-17-188 chromosome, complete genome",3505422,CP027852.1,Plesiomonas shigelloides,Plesiomonas,strain MS-17-188,,complete genome,1,0.00e+00,1150,1142,99.30%,3,6-1154,1709581-1710728
"gi|1370756710|gb|CP027852.1| Plesiomonas shigelloides strain MS-17-188 chromosome, complete genome",3505422,CP027852.1,Plesiomonas shigelloides,Plesiomonas,strain MS-17-188,,complete genome,1,0.00e+00,1150,1142,99.30%,3,6-1154,1856710-1857857
"gi|1370756710|gb|CP027852.1| Plesiomonas shigelloides strain MS-17-188 chromosome, complete genome",3505422,CP027852.1,Plesiomonas shigelloides,Plesiomonas,strain MS-17-188,,complete genome,1,0.00e+00,1150,1142,99.30%,3,6-1154,2062245-2063392
"gi|1370756710|gb|CP027852.1| Plesiomonas shigelloides strain MS-17-188 chromosome, complete genome",3505422,CP027852.1,Plesiomonas shigelloides,Plesiomonas,strain MS-17-188,,complete genome,1,0.00e+00,1150,1142,99.30%,3,6-1154,2432761-2431614
