标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|1870018675|gb|MT757966.1| Pseudomonas taiwanensis strain ZM11 16S ribosomal RNA gene, partial sequence",1435,MT757966.1,Pseudomonas taiwanensis,Pseudomonas,strain ZM11,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1069,1068,99.91%,0,3-1071,1433-365
"gi|1870018647|gb|MT757939.1| Pseudomonas sp. strain ZM11 16S ribosomal RNA gene, partial sequence",1435,MT757939.1,Pseudomonas sp,Pseudomonas,strain ZM11,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1069,1068,99.91%,0,3-1071,1433-365
"gi|1622984566|gb|MK824764.1| Bacterium strain BS1576 16S ribosomal RNA gene, partial sequence",1448,MK824764.1,Bacterium,Bacterium,strain BS1576,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1068,1067,99.91%,0,4-1071,1438-371
"gi|490269955|gb|KC189898.1| Pseudomonas monteilii strain N3 16S ribosomal RNA gene, partial sequence",1420,KC189898.1,Pseudomonas monteilii,Pseudomonas,strain N3,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1068,1067,99.91%,0,4-1071,1419-352
"gi|379047200|gb|JN934395.1| Pseudomonas sp. PDR15 16S ribosomal RNA gene, partial sequence",1426,JN934395.1,Pseudomonas sp,Pseudomonas,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1071,1069,99.81%,0,1-1071,1426-356
"gi|514241274|gb|KF010922.1| Pseudomonas putida strain CSY-P2 16S ribosomal RNA gene, partial sequence",1413,KF010922.1,Pseudomonas putida,Pseudomonas,strain CSY-P2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1068,1067,99.91%,0,4-1071,1410-343
"gi|514241272|gb|KF010920.1| Pseudomonas putida strain CSY-P1 16S ribosomal RNA gene, partial sequence",1442,KF010920.1,Pseudomonas putida,Pseudomonas,strain CSY-P1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1068,1067,99.91%,0,4-1071,1436-369
"gi|959929334|gb|KU221428.1| Bacterium R35 16S ribosomal RNA gene, partial sequence",1441,KU221428.1,Bacterium,Bacterium,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1068,1067,99.91%,0,4-1071,1432-365
"gi|1958181724|gb|MW493203.1| Pseudomonas putida strain LZH-W3 16S ribosomal RNA gene, partial sequence",1438,MW493203.1,Pseudomonas putida,Pseudomonas,strain LZH-W3,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1068,1067,99.91%,0,4-1071,1432-365
"gi|1236048978|gb|MF716680.1| Pseudomonas plecoglossicida strain DC2N-2 16S ribosomal RNA gene, partial sequence",1427,MF716680.1,Pseudomonas plecoglossicida,Pseudomonas,strain DC2N-2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1068,1067,99.91%,0,4-1071,1424-357
