标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|392841071|emb|HE804781.1| Bacillus licheniformis partial 16S rRNA gene, isolate 3.47",1161,HE804781.1,Bacillus licheniformis,Bacillus,isolate 3.47,16S rRNA gene,partial 16S rRNA gene,1,0.00e+00,1072,1072,100.00%,0,7-1078,1150-79
"gi|469476463|gb|KC347587.1| Uncultured Bacillus sp. clone CBR4 16S ribosomal RNA gene, partial sequence",1448,KC347587.1,Uncultured,Uncultured,clone CBR4,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1077,1075,99.81%,0,2-1078,1446-370
"gi|1939884591|gb|MW332140.1| Bacillus licheniformis strain ZM059 16S ribosomal RNA gene, partial sequence",1336,MW332140.1,Bacillus licheniformis,Bacillus,strain ZM059,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1073,1072,99.91%,0,6-1078,1335-263
"gi|2156809283|gb|OL672214.1| Bacillus licheniformis strain ZH02 16S ribosomal RNA gene, partial sequence",1336,OL672214.1,Bacillus licheniformis,Bacillus,strain ZH02,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1073,1072,99.91%,0,6-1078,1335-263
"gi|1435926167|gb|MH373534.1| Bacillus sonorensis strain HN-3 16S ribosomal RNA gene, partial sequence",1447,MH373534.1,Bacillus sonorensis,Bacillus,strain HN-3,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1073,1072,99.91%,0,6-1078,1440-368
"gi|303303472|gb|HQ005269.1| Bacillus licheniformis strain Y822 16S ribosomal RNA gene, partial sequence",1437,HQ005269.1,Bacillus licheniformis,Bacillus,strain Y822,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1073,1072,99.91%,0,6-1078,1431-359
"gi|703625995|gb|KM289130.1| Bacillus licheniformis strain LTW7 16S ribosomal RNA gene, partial sequence",1458,KM289130.1,Bacillus licheniformis,Bacillus,strain LTW7,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1080,1077,99.72%,2,1-1078,1454-375
"gi|2286442606|gb|OP223352.1| Bacillus licheniformis strain ZBG29 16S ribosomal RNA gene, partial sequence",1448,OP223352.1,Bacillus licheniformis,Bacillus,strain ZBG29,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1080,1077,99.72%,2,1-1078,1448-369
"gi|2445127410|gb|OQ443150.1| Bacillus haynesii strain ChiH202 16S ribosomal RNA gene, partial sequence",1448,OQ443150.1,Bacillus haynesii,Bacillus,strain ChiH202,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1071,99.91%,0,7-1078,1439-368
"gi|1863156553|gb|MT673815.1| Bacillus sp. (in: Bacteria) strain LPB38 16S ribosomal RNA gene, partial sequence",1415,MT673815.1,Bacillus sp,Bacillus,strain LPB38,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1075,1073,99.81%,0,4-1078,1413-339
