标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2428898261|gb|OQ283675.1| Aeromonas hydrophila strain 202108J3 16S ribosomal RNA gene, partial sequence",1431,OQ283675.1,Aeromonas hydrophila,Aeromonas,strain 202108J3,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1137,99.48%,1,4-1146,1431-290
"gi|2428898258|gb|OQ283672.1| Aeromonas hydrophila strain 202108J1 16S ribosomal RNA gene, partial sequence",1435,OQ283672.1,Aeromonas hydrophila,Aeromonas,strain 202108J1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1139,1134,99.56%,1,8-1146,1427-290
"gi|537851570|gb|KF413418.1| Aeromonas hydrophila strain HL-6 16S ribosomal RNA gene, partial sequence",1443,KF413418.1,Aeromonas hydrophila,Aeromonas,strain HL-6,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1139,1134,99.56%,1,8-1146,1436-299
"gi|1917123461|gb|MW116751.1| Aeromonas hydrophila strain LTJC1 16S ribosomal RNA gene, partial sequence",1424,MW116751.1,Aeromonas hydrophila,Aeromonas,strain LTJC1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1139,1134,99.56%,1,8-1146,1422-285
"gi|321172257|gb|HQ876090.1| Aeromonas hydrophila strain NJ-1 16S ribosomal RNA gene, partial sequence",1423,HQ876090.1,Aeromonas hydrophila,Aeromonas,strain NJ-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1139,1134,99.56%,1,8-1146,1423-286
"gi|1917123465|gb|MW116755.1| Aeromonas hydrophila strain LTC 16S ribosomal RNA gene, partial sequence",1424,MW116755.1,Aeromonas hydrophila,Aeromonas,strain LTC,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1138,1133,99.56%,1,9-1146,1424-288
"gi|1917123465|gb|MW116755.1| Aeromonas hydrophila strain LTC 16S ribosomal RNA gene, partial sequence",1424,MW116755.1,Aeromonas hydrophila,Aeromonas,strain LTC,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1138,1133,99.56%,1,9-1146,1424-288
"gi|537851591|gb|KF413421.1| Aeromonas hydrophila strain HL1 16S ribosomal RNA gene, partial sequence",1450,KF413421.1,Aeromonas hydrophila,Aeromonas,strain HL1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1141,1135,99.47%,2,6-1146,1442-304
"gi|537851591|gb|KF413421.1| Aeromonas hydrophila strain HL1 16S ribosomal RNA gene, partial sequence",1450,KF413421.1,Aeromonas hydrophila,Aeromonas,strain HL1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1141,1135,99.47%,2,6-1146,1442-304
"gi|2967132499|gb|CP188773.1| Aeromonas hydrophila strain 14B-LG1 chromosome, complete genome",4910032,CP188773.1,Aeromonas hydrophila,Aeromonas,strain 14B-LG1,,complete genome,1,0.00e+00,1140,1134,99.47%,2,8-1146,4831001-4832139
"gi|2967132499|gb|CP188773.1| Aeromonas hydrophila strain 14B-LG1 chromosome, complete genome",4910032,CP188773.1,Aeromonas hydrophila,Aeromonas,strain 14B-LG1,,complete genome,1,0.00e+00,1140,1131,99.21%,2,8-1146,385686-386824
"gi|2967132499|gb|CP188773.1| Aeromonas hydrophila strain 14B-LG1 chromosome, complete genome",4910032,CP188773.1,Aeromonas hydrophila,Aeromonas,strain 14B-LG1,,complete genome,1,0.00e+00,1140,1131,99.21%,2,8-1146,519509-520647
"gi|2967132499|gb|CP188773.1| Aeromonas hydrophila strain 14B-LG1 chromosome, complete genome",4910032,CP188773.1,Aeromonas hydrophila,Aeromonas,strain 14B-LG1,,complete genome,1,0.00e+00,1140,1131,99.21%,2,8-1146,571009-572147
"gi|2967132499|gb|CP188773.1| Aeromonas hydrophila strain 14B-LG1 chromosome, complete genome",4910032,CP188773.1,Aeromonas hydrophila,Aeromonas,strain 14B-LG1,,complete genome,1,0.00e+00,1140,1131,99.21%,2,8-1146,775476-774338
"gi|2967132499|gb|CP188773.1| Aeromonas hydrophila strain 14B-LG1 chromosome, complete genome",4910032,CP188773.1,Aeromonas hydrophila,Aeromonas,strain 14B-LG1,,complete genome,1,0.00e+00,1140,1131,99.21%,2,8-1146,1020925-1019787
"gi|2967132499|gb|CP188773.1| Aeromonas hydrophila strain 14B-LG1 chromosome, complete genome",4910032,CP188773.1,Aeromonas hydrophila,Aeromonas,strain 14B-LG1,,complete genome,1,0.00e+00,1140,1131,99.21%,2,8-1146,1106179-1105041
"gi|2967132499|gb|CP188773.1| Aeromonas hydrophila strain 14B-LG1 chromosome, complete genome",4910032,CP188773.1,Aeromonas hydrophila,Aeromonas,strain 14B-LG1,,complete genome,1,0.00e+00,1140,1131,99.21%,2,8-1146,1601268-1600130
"gi|2967132499|gb|CP188773.1| Aeromonas hydrophila strain 14B-LG1 chromosome, complete genome",4910032,CP188773.1,Aeromonas hydrophila,Aeromonas,strain 14B-LG1,,complete genome,1,0.00e+00,1140,1131,99.21%,2,8-1146,4702329-4703467
"gi|2967132499|gb|CP188773.1| Aeromonas hydrophila strain 14B-LG1 chromosome, complete genome",4910032,CP188773.1,Aeromonas hydrophila,Aeromonas,strain 14B-LG1,,complete genome,1,0.00e+00,1140,1130,99.12%,2,8-1146,654241-655379
"gi|2620084747|gb|CP138197.1| Aeromonas hydrophila strain F7 chromosome, complete genome",4067721,CP138197.1,Aeromonas hydrophila,Aeromonas,strain F7,,complete genome,1,0.00e+00,1140,1134,99.47%,2,8-1146,3875822-3876960
"gi|2620084747|gb|CP138197.1| Aeromonas hydrophila strain F7 chromosome, complete genome",4067721,CP138197.1,Aeromonas hydrophila,Aeromonas,strain F7,,complete genome,1,0.00e+00,1140,1134,99.47%,2,8-1146,4006037-4004899
"gi|2620084747|gb|CP138197.1| Aeromonas hydrophila strain F7 chromosome, complete genome",4067721,CP138197.1,Aeromonas hydrophila,Aeromonas,strain F7,,complete genome,1,0.00e+00,1140,1132,99.30%,4,8-1146,3618874-3620010
"gi|2620084747|gb|CP138197.1| Aeromonas hydrophila strain F7 chromosome, complete genome",4067721,CP138197.1,Aeromonas hydrophila,Aeromonas,strain F7,,complete genome,1,0.00e+00,1143,1134,99.21%,5,8-1146,3801866-3803007
"gi|2620084747|gb|CP138197.1| Aeromonas hydrophila strain F7 chromosome, complete genome",4067721,CP138197.1,Aeromonas hydrophila,Aeromonas,strain F7,,complete genome,1,0.00e+00,1140,1130,99.12%,3,8-1146,3750260-3751397
"gi|2620084747|gb|CP138197.1| Aeromonas hydrophila strain F7 chromosome, complete genome",4067721,CP138197.1,Aeromonas hydrophila,Aeromonas,strain F7,,complete genome,1,0.00e+00,1146,1130,98.60%,8,8-1146,3149719-3150863
