标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|209981672|gb|EU873349.1| Rothia sp. ZHT413 16S ribosomal RNA gene, partial sequence",1427,EU873349.1,Rothia sp,Rothia,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1148,1139,99.22%,4,6-1153,1426-283
"gi|2810055204|gb|PQ380177.1| Rothia marina strain fh2 16S ribosomal RNA gene, partial sequence",1437,PQ380177.1,Rothia marina,Rothia,strain fh2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1148,1139,99.22%,4,6-1153,1424-281
"gi|1847230934|gb|MT539728.1| Rothia marina strain JM88 16S ribosomal RNA gene, partial sequence",1402,MT539728.1,Rothia marina,Rothia,strain JM88,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1147,1138,99.22%,4,7-1153,1402-260
"gi|1377213220|gb|MH200639.1| Rothia endophytica strain kv5 16S ribosomal RNA gene, partial sequence",1440,MH200639.1,Rothia endophytica,Rothia,strain kv5,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1149,1139,99.13%,5,6-1153,1425-281
"gi|216362934|gb|FJ425908.1| Rothia marina strain JSM 078151 16S ribosomal RNA gene, partial sequence",1443,FJ425908.1,Rothia marina,Rothia,strain JSM,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1148,1138,99.13%,4,6-1153,1417-274
"gi|1370745715|gb|MH119732.1| Rothia endophytica strain JZ R-4 16S ribosomal RNA gene, partial sequence",1450,MH119732.1,Rothia endophytica,Rothia,strain JZ,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1148,1138,99.13%,4,6-1153,1435-292
"gi|511193867|gb|KC554189.1| Uncultured bacterium clone 4-76 16S ribosomal RNA gene, partial sequence",1524,KC554189.1,Uncultured bacterium,Uncultured,clone 4-76,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1148,1138,99.13%,4,6-1153,1450-307
"gi|887497254|gb|KR055017.1| Rothia sp. KAR56 16S ribosomal RNA gene, complete sequence",1452,KR055017.1,Rothia sp,Rothia,,16S ribosomal RNA gene,complete sequence,1,0.00e+00,1148,1138,99.13%,4,6-1153,1431-288
"gi|2363080269|ref|NR_178360.1| Rothia marina strain JSM 078151 16S ribosomal RNA, partial sequence",1443,NR_178360.1,Rothia marina,Rothia,strain JSM,16S ribosomal RNA,partial sequence,1,0.00e+00,1148,1138,99.13%,4,6-1153,1417-274
"gi|1779939430|gb|MN758848.1| Rothia marina strain JM88 16S ribosomal RNA gene, partial sequence",1426,MN758848.1,Rothia marina,Rothia,strain JM88,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1148,1138,99.13%,4,6-1153,1410-267
"gi|3001224640|gb|PV798925.1| Rothia endophytica strain GE_8a 16S ribosomal RNA gene, partial sequence",1175,PV798925.1,Rothia endophytica,Rothia,strain GE_8a,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1148,1138,99.13%,4,6-1153,1175-32
"gi|1043220191|gb|KU884343.1| Rothia sp. OAct837 16S ribosomal RNA gene, partial sequence",1452,KU884343.1,Rothia sp,Rothia,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1148,1138,99.13%,4,6-1153,1431-288
"gi|258683218|emb|FN551252.1| Kocuria sp. RMB42 partial 16S rRNA gene, strain RMB42",1415,FN551252.1,Kocuria sp,Kocuria,strain RMB42,16S rRNA gene,partial 16S rRNA gene,1,0.00e+00,1148,1138,99.13%,4,6-1153,1390-247
"gi|157361090|gb|EU135638.1| Rothia sp. YIM C456 16S ribosomal RNA gene, partial sequence",1465,EU135638.1,Rothia sp,Rothia,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1148,1138,99.13%,4,6-1153,1427-284
"gi|566085657|ref|NR_109752.1| Rothia endophytica strain YIM 67072 16S ribosomal RNA, partial sequence >gi|482665106|gb|KC806052.1| Rothia endophytica strain YIM 67072 16S ribosomal RNA gene, partial sequence >gi|966913578|gb|KT365980.1| Uncultured Rothia sp. clone MJAU D0145 16S ribosomal RNA gene, partial sequence >gi|972975317|gb|KT905462.1| Uncultured bacterium clone BS-26 16S ribosomal RNA gene, partial sequence >gi|972975337|gb|KT905482.1| Uncultured bacterium clone BS-46 16S ribosomal RNA gene, partial sequence >gi|972975431|gb|KT905576.1| Uncultured bacterium clone Mc-47 16S ribosomal RNA gene, partial sequence >gi|972975476|gb|KT905621.1| Uncultured bacterium clone Mc-92 16S ribosomal RNA gene, partial sequence >gi|972975675|gb|KT905820.1| Uncultured bacterium clone TSJG-2 16S ribosomal RNA gene, partial sequence >gi|972975690|gb|KT905835.1| Uncultured bacterium clone TSJG-17 16S ribosomal RNA gene, partial sequence >gi|972975699|gb|KT905844.1| Uncultured bacterium clone TSJG-26 16S ribosomal RNA gene, partial sequence >gi|972975707|gb|KT905852.1| Uncultured bacterium clone TSJG-34 16S ribosomal RNA gene, partial sequence",1520,NR_109752.1,Rothia endophytica,Rothia,strain YIM,16S ribosomal RNA,partial sequence,1,0.00e+00,1148,1138,99.13%,4,6-1153,1461-318
"gi|1280075021|gb|MG576403.1| Rothia endophytica strain SNSK 148 16S ribosomal RNA gene, partial sequence",1477,MG576403.1,Rothia endophytica,Rothia,strain SNSK,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1148,1138,99.13%,4,6-1153,1441-298
"gi|402478034|emb|HE979852.1| Rothia sp. KK-5-2-2 partial 16S rRNA gene, isolate KK-5-2-2",1432,HE979852.1,Rothia sp,Rothia,isolate KK-5-2-2,16S rRNA gene,partial 16S rRNA gene,1,0.00e+00,1148,1138,99.13%,4,6-1153,1398-255
"gi|2571254840|gb|OR497741.1| Rothia endophytica strain AF70-LPN-C1_consensus 16S ribosomal RNA gene, partial sequence",1397,OR497741.1,Rothia endophytica,Rothia,strain AF70-LPN-C1_consensus,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1147,1137,99.13%,4,7-1153,1397-255
"gi|1864361788|gb|MT704545.1| Rothia marina strain FCV K13 16S ribosomal RNA gene, partial sequence",1360,MT704545.1,Rothia marina,Rothia,strain FCV,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1136,99.13%,4,8-1153,1360-219
"gi|2720819743|gb|PP716991.1| Rothia sp. (in: high G+C Gram-positive bacteria) strain RTM6-7 16S ribosomal RNA gene, partial sequence",1393,PP716991.1,Rothia sp,Rothia,strain RTM6-7,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1143,1134,99.21%,4,11-1153,1393-255
