标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2864425479|gb|PQ680901.1| Bacterium strain DCBR1003 16S ribosomal RNA gene, partial sequence",1449,PQ680901.1,Bacterium,Bacterium,strain DCBR1003,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1137,1128,99.21%,1,3-1139,1446-311
"gi|1371569267|gb|MG428727.1| Bacillus licheniformis strain F_2 16S ribosomal RNA gene, partial sequence",1449,MG428727.1,Bacillus licheniformis,Bacillus,strain F_2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1140,1130,99.12%,2,1-1139,1447-309
"gi|1081700563|gb|KU877628.1| Bacillus licheniformis strain WJB11 16S ribosomal RNA gene, partial sequence",1445,KU877628.1,Bacillus licheniformis,Bacillus,strain WJB11,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1137,1128,99.21%,1,3-1139,1441-306
"gi|1832633319|gb|MT356172.1| Bacillus licheniformis strain SM17 16S ribosomal RNA gene, partial sequence",1490,MT356172.1,Bacillus licheniformis,Bacillus,strain SM17,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1140,1130,99.12%,2,1-1139,1480-342
"gi|2285393857|gb|OP218660.1| Bacillus sp. (in: Bacteria) strain SWUSTb-92 16S ribosomal RNA gene, partial sequence",1451,OP218660.1,Bacillus sp,Bacillus,strain SWUSTb-92,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1137,1128,99.21%,1,3-1139,1444-309
"gi|2831344432|gb|PQ462092.1| Bacillus licheniformis strain FSB35 16S ribosomal RNA gene, partial sequence",1442,PQ462092.1,Bacillus licheniformis,Bacillus,strain FSB35,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1137,1128,99.21%,1,3-1139,1438-303
"gi|1846470817|gb|MT538580.1| Bacillus licheniformis strain 3722 16S ribosomal RNA gene, partial sequence",1454,MT538580.1,Bacillus licheniformis,Bacillus,strain 3722,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1137,1128,99.21%,1,3-1139,1447-312
"gi|2238971502|gb|ON514232.1| Bacillus paralicheniformis strain GFM31 16S ribosomal RNA gene, partial sequence",1452,ON514232.1,Bacillus paralicheniformis,Bacillus,strain GFM31,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1137,1128,99.21%,1,3-1139,1446-311
"gi|2864425526|gb|PQ680948.1| Bacterium strain DCBR5001 16S ribosomal RNA gene, partial sequence",1433,PQ680948.1,Bacterium,Bacterium,strain DCBR5001,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1136,1127,99.21%,1,4-1139,1432-298
"gi|1808497086|gb|MT043736.1| Bacillus licheniformis strain QT331 16S ribosomal RNA gene, partial sequence",1459,MT043736.1,Bacillus licheniformis,Bacillus,strain QT331,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1136,1127,99.21%,1,4-1139,1447-313
"gi|1776837027|gb|MN704482.1| Bacillus haynesii strain EGI221 16S ribosomal RNA gene, partial sequence",1455,MN704482.1,Bacillus haynesii,Bacillus,strain EGI221,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1136,1127,99.21%,1,4-1139,1446-312
"gi|2732368865|gb|PP789724.1| Bacillus licheniformis strain MS-1 16S ribosomal RNA gene, partial sequence",1449,PP789724.1,Bacillus licheniformis,Bacillus,strain MS-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1139,1129,99.12%,1,1-1139,1447-310
"gi|1476489969|gb|MG309319.1| Bacillus sp. (in: firmicutes) strain 201705CJKOP-6 16S ribosomal RNA gene, partial sequence",1455,MG309319.1,Bacillus sp,Bacillus,strain 201705CJKOP-6,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1136,1127,99.21%,1,4-1139,1448-314
"gi|1776836964|gb|MN704419.1| Bacillus haynesii strain EGI96 16S ribosomal RNA gene, partial sequence",1452,MN704419.1,Bacillus haynesii,Bacillus,strain EGI96,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1136,1127,99.21%,1,4-1139,1445-311
