标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2511952268|gb|OR058584.1| Pseudomonas fulva strain C-D-1 16S ribosomal RNA gene, partial sequence",1436,OR058584.1,Pseudomonas fulva,Pseudomonas,strain C-D-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1172,1159,98.89%,2,7-1178,1427-258
"gi|2733009075|gb|PP800455.1| Pseudomonas alloputida strain JR143 16S ribosomal RNA gene, partial sequence",1371,PP800455.1,Pseudomonas alloputida,Pseudomonas,strain JR143,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1173,1160,98.89%,4,7-1178,1332-163
"gi|2557506889|gb|OR392959.1| Pseudomonas sp. strain nrh-14 16S ribosomal RNA gene, partial sequence",1436,OR392959.1,Pseudomonas sp,Pseudomonas,strain nrh-14,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1172,1159,98.89%,2,7-1178,1430-261
"gi|2004852520|gb|MW736862.1| Pseudomonas sp. strain XRK36 16S ribosomal RNA gene, partial sequence",1444,MW736862.1,Pseudomonas sp,Pseudomonas,strain XRK36,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1172,1159,98.89%,2,7-1178,1432-263
"gi|2533898853|gb|OR257495.1| Pseudomonas parafulva strain SA2 16S ribosomal RNA gene, partial sequence",1432,OR257495.1,Pseudomonas parafulva,Pseudomonas,strain SA2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1179,1164,98.73%,3,1-1178,1429-253
"gi|2928257571|gb|PV273835.1| Pseudomonas sp. strain WPD102 16S ribosomal RNA gene, partial sequence",1436,PV273835.1,Pseudomonas sp,Pseudomonas,strain WPD102,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1172,1159,98.89%,2,7-1178,1426-257
"gi|2232553089|gb|ON387153.1| Bacterium strain SZ510-2 16S ribosomal RNA gene, partial sequence",1427,ON387153.1,Bacterium,Bacterium,strain SZ510-2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1172,1159,98.89%,2,7-1178,1424-255
"gi|2960576571|gb|PV554846.1| Pseudomonas fulva strain T23 16S ribosomal RNA gene, partial sequence",1437,PV554846.1,Pseudomonas fulva,Pseudomonas,strain T23,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1172,1159,98.89%,2,7-1178,1426-257
"gi|2511761209|gb|OR054219.1| Pseudomonas sp. strain H-E-2 16S ribosomal RNA gene, partial sequence",1435,OR054219.1,Pseudomonas sp,Pseudomonas,strain H-E-2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1172,1159,98.89%,2,7-1178,1426-257
"gi|2511790712|gb|OR056218.1| Pseudomonas sp. strain chi-F-2 16S ribosomal RNA gene, partial sequence",1440,OR056218.1,Pseudomonas sp,Pseudomonas,strain chi-F-2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1172,1159,98.89%,2,7-1178,1429-260
"gi|2939961748|gb|PV366630.1| Pseudomonas hunanensis strain A12 16S ribosomal RNA gene, partial sequence",1445,PV366630.1,Pseudomonas hunanensis,Pseudomonas,strain A12,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1172,1159,98.89%,2,7-1178,1430-261
"gi|2004852513|gb|MW736855.1| Pseudomonas sp. strain XRK26 16S ribosomal RNA gene, partial sequence",1445,MW736855.1,Pseudomonas sp,Pseudomonas,strain XRK26,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1174,1160,98.81%,3,5-1178,1433-263
"gi|2702708871|gb|PP528613.1| Pseudomonas alloputida strain FYH11 16S ribosomal RNA gene, partial sequence",1438,PP528613.1,Pseudomonas alloputida,Pseudomonas,strain FYH11,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1172,1158,98.81%,2,7-1178,1427-258
"gi|2969336538|gb|CP189641.1| Pseudomonas fulva strain T23 chromosome, complete genome",4906246,CP189641.1,Pseudomonas fulva,Pseudomonas,strain T23,,complete genome,1,0.00e+00,1173,1159,98.81%,3,7-1178,808877-807707
"gi|2969336538|gb|CP189641.1| Pseudomonas fulva strain T23 chromosome, complete genome",4906246,CP189641.1,Pseudomonas fulva,Pseudomonas,strain T23,,complete genome,1,0.00e+00,1173,1159,98.81%,3,7-1178,1735167-1733997
"gi|2969336538|gb|CP189641.1| Pseudomonas fulva strain T23 chromosome, complete genome",4906246,CP189641.1,Pseudomonas fulva,Pseudomonas,strain T23,,complete genome,1,0.00e+00,1170,1157,98.89%,3,7-1175,4408085-4409252
"gi|2969336538|gb|CP189641.1| Pseudomonas fulva strain T23 chromosome, complete genome",4906246,CP189641.1,Pseudomonas fulva,Pseudomonas,strain T23,,complete genome,1,0.00e+00,1173,1158,98.72%,3,7-1178,130387-129217
"gi|2969336538|gb|CP189641.1| Pseudomonas fulva strain T23 chromosome, complete genome",4906246,CP189641.1,Pseudomonas fulva,Pseudomonas,strain T23,,complete genome,1,0.00e+00,1173,1158,98.72%,3,7-1178,135791-134621
"gi|2969336538|gb|CP189641.1| Pseudomonas fulva strain T23 chromosome, complete genome",4906246,CP189641.1,Pseudomonas fulva,Pseudomonas,strain T23,,complete genome,1,0.00e+00,1173,1158,98.72%,3,7-1178,1197581-1196411
"gi|2969336538|gb|CP189641.1| Pseudomonas fulva strain T23 chromosome, complete genome",4906246,CP189641.1,Pseudomonas fulva,Pseudomonas,strain T23,,complete genome,1,0.00e+00,1170,1156,98.80%,3,7-1175,4243824-4244991
"gi|2744137510|gb|CP157870.1| Pseudomonas fulva strain OsEnb_ALM_C17 chromosome, complete genome",4798599,CP157870.1,Pseudomonas fulva,Pseudomonas,strain OsEnb_ALM_C17,,complete genome,1,0.00e+00,1173,1159,98.81%,3,7-1178,109944-108774
