标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|1917123469|gb|MW116759.1| Aeromonas veronii strain LTCC 16S ribosomal RNA gene, partial sequence >gi|1917123470|gb|MW116760.1| Aeromonas veronii strain LTFS6 16S ribosomal RNA gene, partial sequence >gi|1917123471|gb|MW116761.1| Aeromonas veronii strain LTFS1 16S ribosomal RNA gene, partial sequence >gi|1917123472|gb|MW116762.1| Aeromonas veronii strain LTFS4B 16S ribosomal RNA gene, partial sequence >gi|1917123473|gb|MW116763.1| Aeromonas veronii strain LTFS3 16S ribosomal RNA gene, partial sequence >gi|1917123474|gb|MW116764.1| Aeromonas veronii strain LTFS4 16S ribosomal RNA gene, partial sequence >gi|1917123475|gb|MW116765.1| Aeromonas veronii strain YXJ 16S ribosomal RNA gene, partial sequence >gi|1917123476|gb|MW116766.1| Aeromonas veronii strain YXCY 16S ribosomal RNA gene, partial sequence >gi|1917123477|gb|MW116767.1| Aeromonas veronii strain YXC 16S ribosomal RNA gene, partial sequence",1438,MW116759.1,Aeromonas veronii,Aeromonas,strain LTCC,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1118,1115,99.73%,2,2-1118,1438-322
"gi|1752957106|gb|MN519543.1| Aeromonas sp. strain J16OP4 16S ribosomal RNA gene, partial sequence",1451,MN519543.1,Aeromonas sp,Aeromonas,strain J16OP4,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1118,1115,99.73%,2,2-1118,1445-329
"gi|2736346774|gb|PP837730.1| Aeromonas sp. strain JZ4 16S ribosomal RNA gene, partial sequence >gi|2785242247|gb|PQ164251.1| Aeromonas veronii strain JZ4 16S ribosomal RNA gene, partial sequence",1448,PP837730.1,Aeromonas veronii,Aeromonas,strain JZ4,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1117,1114,99.73%,1,2-1118,1443-328
"gi|317408880|gb|HQ292718.2| Aeromonas sp. L2 16S ribosomal RNA gene, partial sequence",1505,HQ292718.2,Aeromonas sp,Aeromonas,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1114,1112,99.82%,1,5-1118,1466-354
"gi|1917123463|gb|MW116753.1| Aeromonas veronii strain LTJC 16S ribosomal RNA gene, partial sequence",1429,MW116753.1,Aeromonas veronii,Aeromonas,strain LTJC,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1114,1112,99.82%,1,5-1118,1427-315
"gi|2428898239|gb|OQ283653.1| Aeromonas veronii strain JXHS2 16S ribosomal RNA gene, partial sequence",1416,OQ283653.1,Aeromonas veronii,Aeromonas,strain JXHS2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1114,1112,99.82%,1,5-1118,1412-300
"gi|540073935|gb|KF561994.1| Aeromonas veronii strain CG1 16S ribosomal RNA gene, partial sequence",1448,KF561994.1,Aeromonas veronii,Aeromonas,strain CG1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1117,1114,99.73%,2,3-1118,1443-328
"gi|2425237925|gb|OQ217607.1| Uncultured Aeromonas sp. clone 18-SxT-12 16S ribosomal RNA gene, partial sequence",1435,OQ217607.1,Uncultured,Uncultured,clone 18-SxT-12,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1113,1111,99.82%,1,6-1118,1432-321
"gi|2236790090|gb|ON479618.1| Aeromonas rivipollensis strain SWNV-1 16S ribosomal RNA gene, partial sequence",1449,ON479618.1,Aeromonas rivipollensis,Aeromonas,strain SWNV-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1116,1113,99.73%,1,3-1118,1444-330
"gi|526132730|gb|KF285586.1| Aeromonas veronii strain HT13 16S ribosomal RNA gene, partial sequence",1450,KF285586.1,Aeromonas veronii,Aeromonas,strain HT13,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1116,1113,99.73%,2,3-1118,1442-329
