标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|372461057|gb|JN571746.1| Plesiomonas shigelloides strain JT-0601 16S ribosomal RNA gene, partial sequence",1447,JN571746.1,Plesiomonas shigelloides,Plesiomonas,strain JT-0601,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1117,1113,99.64%,0,4-1120,1440-324
"gi|309953081|gb|HM778296.1| Uncultured bacterium clone JFR0501_aaa06b03 16S ribosomal RNA gene, partial sequence",1456,HM778296.1,Uncultured bacterium,Uncultured,clone JFR0501_aaa06b03,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1116,1112,99.64%,1,6-1120,1435-320
"gi|1250244446|gb|MF187359.1| Plesiomonas shigelloides strain BY160513 16S ribosomal RNA gene, partial sequence >gi|1353874945|gb|MF100995.1| Plesiomonas shigelloides strain BY160512 16S ribosomal RNA gene, partial sequence",1431,MF187359.1,Plesiomonas shigelloides,Plesiomonas,strain BY160513,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1117,1112,99.55%,1,4-1120,1427-312
"gi|1250244446|gb|MF187359.1| Plesiomonas shigelloides strain BY160513 16S ribosomal RNA gene, partial sequence >gi|1353874945|gb|MF100995.1| Plesiomonas shigelloides strain BY160512 16S ribosomal RNA gene, partial sequence",1431,MF187359.1,Plesiomonas shigelloides,Plesiomonas,strain BY160513,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1117,1112,99.55%,1,4-1120,1427-312
"gi|2202009148|gb|OM883919.1| Plesiomonas shigelloides strain NJS1 16S ribosomal RNA gene, partial sequence",1442,OM883919.1,Plesiomonas shigelloides,Plesiomonas,strain NJS1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1113,1109,99.64%,0,8-1120,1431-319
"gi|309954058|gb|HM779273.1| Uncultured bacterium clone JFR0502_aaa21d01 16S ribosomal RNA gene, partial sequence",1452,HM779273.1,Uncultured bacterium,Uncultured,clone JFR0502_aaa21d01,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1116,1111,99.55%,1,6-1120,1446-331
"gi|309954058|gb|HM779273.1| Uncultured bacterium clone JFR0502_aaa21d01 16S ribosomal RNA gene, partial sequence",1452,HM779273.1,Uncultured bacterium,Uncultured,clone JFR0502_aaa21d01,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1116,1111,99.55%,1,6-1120,1446-331
"gi|309953434|gb|HM778649.1| Uncultured bacterium clone JFR0501_aaa08c09 16S ribosomal RNA gene, partial sequence",1466,HM778649.1,Uncultured bacterium,Uncultured,clone JFR0501_aaa08c09,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1116,1111,99.55%,1,6-1120,1461-346
"gi|309953206|gb|HM778421.1| Uncultured bacterium clone JFR0501_aaa01d09 16S ribosomal RNA gene, partial sequence",1448,HM778421.1,Uncultured bacterium,Uncultured,clone JFR0501_aaa01d09,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1116,1111,99.55%,1,6-1120,1445-330
"gi|309954278|gb|HM779493.1| Uncultured bacterium clone JFR0502_aaa23h08 16S ribosomal RNA gene, partial sequence",1454,HM779493.1,Uncultured bacterium,Uncultured,clone JFR0502_aaa23h08,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1116,1111,99.55%,1,6-1120,1432-317
