标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2560545092|gb|OR418439.1| Streptococcus iniae strain AQAHMSi1 16S ribosomal RNA gene, partial sequence",1513,OR418439.1,Streptococcus iniae,Streptococcus,strain AQAHMSi1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1158,1153,99.57%,2,7-1162,1470-313
"gi|1706971017|gb|MN194171.1| Streptococcus iniae strain UCD-K3 16S ribosomal RNA gene, partial sequence",1500,MN194171.1,Streptococcus iniae,Streptococcus,strain UCD-K3,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1158,1153,99.57%,2,7-1162,1464-307
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,26126-24969
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,32226-31069
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,88753-87596
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,406029-404872
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,459598-458441
"gi|2506095532|gb|CP125108.1| Streptococcus iniae strain GXAS200705 chromosome, complete genome",2399091,CP125108.1,Streptococcus iniae,Streptococcus,strain GXAS200705,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,1830824-1831981
"gi|1566193409|dbj|LC378581.1| Streptococcus iniae CU/KSC3 gene for 16S ribosomal RNA, partial sequence",1510,LC378581.1,Streptococcus iniae,Streptococcus,,16S ribosomal RNA,partial sequence,1,0.00e+00,1158,1153,99.57%,2,7-1162,1470-313
"gi|1104476190|gb|CP017952.1| Streptococcus iniae strain 89353, complete genome",2098647,CP017952.1,Streptococcus iniae,Streptococcus,strain 89353,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,27448-26291
"gi|1104476190|gb|CP017952.1| Streptococcus iniae strain 89353, complete genome",2098647,CP017952.1,Streptococcus iniae,Streptococcus,strain 89353,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,33546-32389
"gi|1104476190|gb|CP017952.1| Streptococcus iniae strain 89353, complete genome",2098647,CP017952.1,Streptococcus iniae,Streptococcus,strain 89353,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,381324-380167
"gi|1104476190|gb|CP017952.1| Streptococcus iniae strain 89353, complete genome",2098647,CP017952.1,Streptococcus iniae,Streptococcus,strain 89353,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,433288-432131
"gi|1104476190|gb|CP017952.1| Streptococcus iniae strain 89353, complete genome",2098647,CP017952.1,Streptococcus iniae,Streptococcus,strain 89353,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,1552772-1553929
"gi|1104476190|gb|CP017952.1| Streptococcus iniae strain 89353, complete genome",2098647,CP017952.1,Streptococcus iniae,Streptococcus,strain 89353,,complete genome,1,0.00e+00,1158,1147,99.05%,2,7-1162,89977-88820
"gi|1279182880|gb|CP024843.1| Streptococcus iniae strain FP5228 chromosome, complete genome",2090625,CP024843.1,Streptococcus iniae,Streptococcus,strain FP5228,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,58562-59719
"gi|1279182880|gb|CP024843.1| Streptococcus iniae strain FP5228 chromosome, complete genome",2090625,CP024843.1,Streptococcus iniae,Streptococcus,strain FP5228,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,605651-604494
"gi|1279182880|gb|CP024843.1| Streptococcus iniae strain FP5228 chromosome, complete genome",2090625,CP024843.1,Streptococcus iniae,Streptococcus,strain FP5228,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,1034004-1032847
"gi|1279182880|gb|CP024843.1| Streptococcus iniae strain FP5228 chromosome, complete genome",2090625,CP024843.1,Streptococcus iniae,Streptococcus,strain FP5228,,complete genome,1,0.00e+00,1158,1152,99.48%,2,7-1162,982041-980884
"gi|1279182880|gb|CP024843.1| Streptococcus iniae strain FP5228 chromosome, complete genome",2090625,CP024843.1,Streptococcus iniae,Streptococcus,strain FP5228,,complete genome,1,0.00e+00,1158,1147,99.05%,2,7-1162,661096-659939
"gi|909995648|gb|KP729644.2| Streptococcus iniae strain TOS08 16S ribosomal RNA gene, partial sequence",1509,KP729644.2,Streptococcus iniae,Streptococcus,strain TOS08,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1158,1153,99.57%,2,7-1162,1467-310
"gi|1566193407|dbj|LC378579.1| Streptococcus iniae CU/KSC1 gene for 16S ribosomal RNA, partial sequence",1510,LC378579.1,Streptococcus iniae,Streptococcus,,16S ribosomal RNA,partial sequence,1,0.00e+00,1158,1153,99.57%,2,7-1162,1470-313
"gi|1481061157|gb|CP032401.1| Streptococcus iniae strain GX005 chromosome, complete genome",2095003,CP032401.1,Streptococcus iniae,Streptococcus,strain GX005,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,609770-610927
"gi|1481061157|gb|CP032401.1| Streptococcus iniae strain GX005 chromosome, complete genome",2095003,CP032401.1,Streptococcus iniae,Streptococcus,strain GX005,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,1179088-1177931
"gi|1481061157|gb|CP032401.1| Streptococcus iniae strain GX005 chromosome, complete genome",2095003,CP032401.1,Streptococcus iniae,Streptococcus,strain GX005,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,1185186-1184029
"gi|1481061157|gb|CP032401.1| Streptococcus iniae strain GX005 chromosome, complete genome",2095003,CP032401.1,Streptococcus iniae,Streptococcus,strain GX005,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,1532999-1531842
"gi|1481061157|gb|CP032401.1| Streptococcus iniae strain GX005 chromosome, complete genome",2095003,CP032401.1,Streptococcus iniae,Streptococcus,strain GX005,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,1584963-1583806
"gi|1481061157|gb|CP032401.1| Streptococcus iniae strain GX005 chromosome, complete genome",2095003,CP032401.1,Streptococcus iniae,Streptococcus,strain GX005,,complete genome,1,0.00e+00,1158,1147,99.05%,2,7-1162,1241618-1240461
"gi|1216356827|gb|CP022392.1| Streptococcus iniae strain QMA0248, complete genome",2116570,CP022392.1,Streptococcus iniae,Streptococcus,strain QMA0248,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,27559-26402
"gi|1216356827|gb|CP022392.1| Streptococcus iniae strain QMA0248, complete genome",2116570,CP022392.1,Streptococcus iniae,Streptococcus,strain QMA0248,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,424613-423456
"gi|1216356827|gb|CP022392.1| Streptococcus iniae strain QMA0248, complete genome",2116570,CP022392.1,Streptococcus iniae,Streptococcus,strain QMA0248,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,1543646-1544803
"gi|1216356827|gb|CP022392.1| Streptococcus iniae strain QMA0248, complete genome",2116570,CP022392.1,Streptococcus iniae,Streptococcus,strain QMA0248,,complete genome,1,0.00e+00,1158,1152,99.48%,2,7-1162,371563-370406
"gi|1216356827|gb|CP022392.1| Streptococcus iniae strain QMA0248, complete genome",2116570,CP022392.1,Streptococcus iniae,Streptococcus,strain QMA0248,,complete genome,1,0.00e+00,1158,1147,99.05%,2,7-1162,82904-81747
gi|2882741923|gb|CP121692.1| Streptococcus iniae strain SIKU01 chromosome,2091102,CP121692.1,Streptococcus iniae,Streptococcus,strain SIKU01,,,1,0.00e+00,1158,1153,99.57%,2,7-1162,27618-26461
gi|2882741923|gb|CP121692.1| Streptococcus iniae strain SIKU01 chromosome,2091102,CP121692.1,Streptococcus iniae,Streptococcus,strain SIKU01,,,1,0.00e+00,1158,1153,99.57%,2,7-1162,429758-428601
gi|2882741923|gb|CP121692.1| Streptococcus iniae strain SIKU01 chromosome,2091102,CP121692.1,Streptococcus iniae,Streptococcus,strain SIKU01,,,1,0.00e+00,1158,1153,99.57%,2,7-1162,1545343-1546500
gi|2882741923|gb|CP121692.1| Streptococcus iniae strain SIKU01 chromosome,2091102,CP121692.1,Streptococcus iniae,Streptococcus,strain SIKU01,,,1,0.00e+00,1158,1152,99.48%,2,7-1162,377794-376637
gi|2882741923|gb|CP121692.1| Streptococcus iniae strain SIKU01 chromosome,2091102,CP121692.1,Streptococcus iniae,Streptococcus,strain SIKU01,,,1,0.00e+00,1158,1147,99.05%,2,7-1162,86459-85302
"gi|2873046052|gb|PQ803353.1| Streptococcus iniae strain 24FBStr0066 16S ribosomal RNA gene, partial sequence",1460,PQ803353.1,Streptococcus iniae,Streptococcus,strain 24FBStr0066,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1158,1153,99.57%,2,7-1162,1444-287
"gi|1706971022|gb|MN194176.1| Streptococcus iniae strain UCD-S10D 16S ribosomal RNA gene, partial sequence",1500,MN194176.1,Streptococcus iniae,Streptococcus,strain UCD-S10D,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1158,1153,99.57%,2,7-1162,1464-307
"gi|2563029237|gb|CP132230.1| Streptococcus iniae strain BH15-2 chromosome, complete genome",2175659,CP132230.1,Streptococcus iniae,Streptococcus,strain BH15-2,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,27443-26286
"gi|2563029237|gb|CP132230.1| Streptococcus iniae strain BH15-2 chromosome, complete genome",2175659,CP132230.1,Streptococcus iniae,Streptococcus,strain BH15-2,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,84562-83405
"gi|2563029237|gb|CP132230.1| Streptococcus iniae strain BH15-2 chromosome, complete genome",2175659,CP132230.1,Streptococcus iniae,Streptococcus,strain BH15-2,,complete genome,1,0.00e+00,1158,1153,99.57%,2,7-1162,412646-411489
