标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|1096224004|gb|KY069031.1| Bacterium strain CH2 16S ribosomal RNA gene, partial sequence",1440,KY069031.1,Bacterium,Bacterium,strain CH2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1141,99.56%,0,2-1147,1435-290
"gi|1707884357|gb|MN208160.1| Acinetobacter bouvetii strain 173-c etp 16S ribosomal RNA gene, partial sequence",1441,MN208160.1,Acinetobacter bouvetii,Acinetobacter,strain 173-c,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1141,99.56%,0,2-1147,1434-289
"gi|1096224003|gb|KY069030.1| Bacterium strain CH1 16S ribosomal RNA gene, partial sequence",1445,KY069030.1,Bacterium,Bacterium,strain CH1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1141,99.56%,0,2-1147,1438-293
"gi|2294996780|gb|OP364791.1| Acinetobacter sp. strain MERYL1-3 16S ribosomal RNA gene, partial sequence",1436,OP364791.1,Acinetobacter sp,Acinetobacter,strain MERYL1-3,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1144,1139,99.56%,0,4-1147,1431-288
"gi|2095605840|gb|OK147821.1| Acinetobacter bouvetii strain YL-276 16S ribosomal RNA gene, partial sequence",1440,OK147821.1,Acinetobacter bouvetii,Acinetobacter,strain YL-276,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1147,1141,99.48%,0,1-1147,1437-291
"gi|1632161684|gb|MK024657.1| Acinetobacter sp. strain BJTNXUAD010 16S ribosomal RNA gene, partial sequence",1438,MK024657.1,Acinetobacter sp,Acinetobacter,strain BJTNXUAD010,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1140,99.48%,0,2-1147,1433-288
"gi|1608347020|gb|MK757663.1| Acinetobacter sp. strain 816OP4 16S ribosomal RNA gene, partial sequence >gi|1752957134|gb|MN519571.1| Acinetobacter sp. strain A16OP4 16S ribosomal RNA gene, partial sequence",1449,MK757663.1,Acinetobacter sp,Acinetobacter,strain 816OP4,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1140,99.48%,0,2-1147,1440-295
"gi|1022528505|gb|KX008066.1| Bacterium OPB6 16S ribosomal RNA gene, partial sequence",1436,KX008066.1,Bacterium,Bacterium,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1140,99.48%,0,2-1147,1434-289
"gi|418968613|gb|KC120648.1| Uncultured bacterium clone OTU85 16S ribosomal RNA gene, partial sequence >gi|528902713|gb|KF303723.1| Uncultured bacterium clone OTU10 16S ribosomal RNA gene, partial sequence",1445,KC120648.1,Uncultured bacterium,Uncultured,clone OTU85,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1146,1140,99.48%,0,2-1147,1438-293
"gi|2511952316|gb|OR058592.1| Acinetobacter sp. strain H-D-1 16S ribosomal RNA gene, partial sequence",1426,OR058592.1,Acinetobacter sp,Acinetobacter,strain H-D-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1142,1137,99.56%,0,6-1147,1420-279
gi|1771903616|emb|LR640581.1| uncultured bacterium partial 16S rRNA gene,1460,LR640581.1,,,,16S rRNA gene,partial 16S rRNA gene,1,0.00e+00,1145,1139,99.48%,1,4-1147,1442-298
"gi|1958254739|gb|CP068195.1| Acinetobacter johnsonii strain FDAARGOS_1093 chromosome, complete genome",3633703,CP068195.1,Acinetobacter johnsonii,Acinetobacter,strain FDAARGOS_1093,,complete genome,1,0.00e+00,1145,1139,99.48%,1,4-1147,1176890-1175746
"gi|1958254739|gb|CP068195.1| Acinetobacter johnsonii strain FDAARGOS_1093 chromosome, complete genome",3633703,CP068195.1,Acinetobacter johnsonii,Acinetobacter,strain FDAARGOS_1093,,complete genome,1,0.00e+00,1145,1138,99.39%,1,4-1147,471984-473128
"gi|1958254739|gb|CP068195.1| Acinetobacter johnsonii strain FDAARGOS_1093 chromosome, complete genome",3633703,CP068195.1,Acinetobacter johnsonii,Acinetobacter,strain FDAARGOS_1093,,complete genome,1,0.00e+00,1145,1138,99.39%,1,4-1147,612774-613918
"gi|1958254739|gb|CP068195.1| Acinetobacter johnsonii strain FDAARGOS_1093 chromosome, complete genome",3633703,CP068195.1,Acinetobacter johnsonii,Acinetobacter,strain FDAARGOS_1093,,complete genome,1,0.00e+00,1145,1138,99.39%,1,4-1147,1105639-1106783
"gi|1958254739|gb|CP068195.1| Acinetobacter johnsonii strain FDAARGOS_1093 chromosome, complete genome",3633703,CP068195.1,Acinetobacter johnsonii,Acinetobacter,strain FDAARGOS_1093,,complete genome,1,0.00e+00,1145,1137,99.30%,1,4-1147,1418881-1417737
"gi|1958254739|gb|CP068195.1| Acinetobacter johnsonii strain FDAARGOS_1093 chromosome, complete genome",3633703,CP068195.1,Acinetobacter johnsonii,Acinetobacter,strain FDAARGOS_1093,,complete genome,1,0.00e+00,1145,1137,99.30%,1,4-1147,1896255-1895111
