标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|2428898266|gb|OQ283680.1| Aeromonas veronii strain 202108FCC 16S ribosomal RNA gene, partial sequence",1441,OQ283680.1,Aeromonas veronii,Aeromonas,strain 202108FCC,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1057,1056,99.91%,0,2-1058,1439-383
"gi|239619165|gb|GQ205446.1| Aeromonas sobria strain LD081008A-1 16S ribosomal RNA gene, partial sequence",1444,GQ205446.1,Aeromonas sobria,Aeromonas,strain LD081008A-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1056,1055,99.91%,0,3-1058,1439-384
"gi|2428898247|gb|OQ283661.1| Aeromonas veronii strain XJHSC2 16S ribosomal RNA gene, partial sequence",1443,OQ283661.1,Aeromonas veronii,Aeromonas,strain XJHSC2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1057,1055,99.81%,0,2-1058,1441-385
"gi|2221269147|gb|ON203099.1| Aeromonas veronii strain CH-GX-FC-3-1A-2021 16S ribosomal RNA gene, partial sequence",1440,ON203099.1,Aeromonas veronii,Aeromonas,strain CH-GX-FC-3-1A-2021,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1058,1056,99.81%,1,2-1058,1438-381
"gi|1766873651|gb|MN581681.1| Aeromonas veronii strain PCG1 16S ribosomal RNA gene, partial sequence",1439,MN581681.1,Aeromonas veronii,Aeromonas,strain PCG1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1058,1056,99.81%,1,2-1058,1439-382
"gi|528080874|gb|KF307772.1| Aeromonas sp. RD2 16S ribosomal RNA gene, partial sequence",1446,KF307772.1,Aeromonas sp,Aeromonas,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1058,1056,99.81%,1,2-1058,1442-385
"gi|2593377242|gb|OR690915.1| Aeromonas veronii strain 261 16S ribosomal RNA gene, partial sequence",1443,OR690915.1,Aeromonas veronii,Aeromonas,strain 261,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1060,1057,99.72%,2,1-1058,1441-382
"gi|2592603960|gb|OR673539.1| Aeromonas veronii strain 143 16S ribosomal RNA gene, partial sequence",1448,OR673539.1,Aeromonas veronii,Aeromonas,strain 143,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1056,1054,99.81%,0,3-1058,1442-387
"gi|1595201738|gb|MK656324.1| Aeromonas veronii strain R0-35 16S ribosomal RNA gene, partial sequence",1419,MK656324.1,Aeromonas veronii,Aeromonas,strain R0-35,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1057,1055,99.81%,1,3-1058,1417-361
"gi|451935939|gb|KC210798.1| Aeromonas sobria strain TL2 16S ribosomal RNA gene, partial sequence",1437,KC210798.1,Aeromonas sobria,Aeromonas,strain TL2,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1057,1055,99.81%,2,3-1058,1433-378
"gi|2221269122|gb|ON203101.1| Aeromonas veronii strain CH-GX-NN-SL1-2-2021 16S ribosomal RNA gene, partial sequence",1442,ON203101.1,Aeromonas veronii,Aeromonas,strain CH-GX-NN-SL1-2-2021,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1057,1055,99.81%,1,3-1058,1437-381
"gi|2533096662|gb|OR244326.1| Aeromonas veronii strain B6 16S ribosomal RNA gene, partial sequence",1419,OR244326.1,Aeromonas veronii,Aeromonas,strain B6,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1057,1055,99.81%,1,3-1058,1417-361
"gi|1236049018|gb|MF716720.1| Aeromonas veronii strain FZ2N 16S ribosomal RNA gene, partial sequence",1433,MF716720.1,Aeromonas veronii,Aeromonas,strain FZ2N,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1057,1055,99.81%,1,3-1058,1430-374
"gi|3012445716|gb|PV871823.1| Aeromonas veronii strain PFL 16S ribosomal RNA gene, partial sequence",1443,PV871823.1,Aeromonas veronii,Aeromonas,strain PFL,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1057,1055,99.81%,1,3-1058,1441-385
"gi|2288062848|gb|OP268346.1| Uncultured Aeromonas sp. clone AS0829L1 16S ribosomal RNA gene, partial sequence",1452,OP268346.1,Uncultured,Uncultured,clone AS0829L1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1057,1055,99.81%,1,3-1058,1443-387
"gi|253317613|gb|GQ232759.1| Aeromonas sobria strain JY081016-1 16S ribosomal RNA gene, partial sequence",1448,GQ232759.1,Aeromonas sobria,Aeromonas,strain JY081016-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1057,1055,99.81%,1,3-1058,1442-386
"gi|2958143735|gb|PV544446.1| Aeromonas veronii strain ws-E36 16S ribosomal RNA gene, partial sequence",1419,PV544446.1,Aeromonas veronii,Aeromonas,strain ws-E36,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1049,1049,100.00%,0,10-1058,1419-371
"gi|1023530438|gb|KU159269.1| Aeromonas sp. WR-33 16S ribosomal RNA gene, partial sequence",1446,KU159269.1,Aeromonas sp,Aeromonas,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1049,1049,100.00%,0,10-1058,1432-384
"gi|1707884402|gb|MN208205.1| Aeromonas allosaccharophila strain 78-a blue 16S ribosomal RNA gene, partial sequence",1446,MN208205.1,Aeromonas allosaccharophila,Aeromonas,strain 78-a,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1059,1056,99.72%,1,1-1058,1441-383
"gi|1236048991|gb|MF716693.1| Aeromonas veronii strain XG2S-1 16S ribosomal RNA gene, partial sequence",1432,MF716693.1,Aeromonas veronii,Aeromonas,strain XG2S-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1056,1054,99.81%,1,4-1058,1432-377
