标题,长度,访问号,物种,属名,菌株,基因类型,序列类型,高得分片段对(HSPs),E值,比对长度,相同碱基数,相似度,缺口数,查询起始-结束,命中起始-结束
"gi|576756001|emb|HG800006.1| Staphylococcus epidermidis partial 16S rRNA gene, isolate OCOB16",1491,HG800006.1,Staphylococcus epidermidis,Staphylococcus,isolate OCOB16,16S rRNA gene,partial 16S rRNA gene,1,0.00e+00,1069,1068,99.91%,0,6-1074,1450-382
"gi|3027969500|gb|PV961214.1| Staphylococcus epidermidis strain TRM59660 16S ribosomal RNA gene, partial sequence",1459,PV961214.1,Staphylococcus epidermidis,Staphylococcus,strain TRM59660,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1070,99.81%,1,4-1074,1452-381
"gi|1236765740|gb|MF070515.1| Staphylococcus sp. strain InS-282-1 16S ribosomal RNA gene, partial sequence",1458,MF070515.1,Staphylococcus sp,Staphylococcus,strain InS-282-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1070,99.81%,1,4-1074,1450-379
"gi|1479547791|gb|MG452760.1| Staphylococcus sp. strain JXJGS201608-25 16S ribosomal RNA gene, partial sequence",1437,MG452760.1,Staphylococcus sp,Staphylococcus,strain JXJGS201608-25,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1070,99.81%,1,4-1074,1436-365
"gi|1949217906|gb|MW391760.1| Staphylococcus epidermidis strain NFZ9 16S ribosomal RNA gene, partial sequence.",1448,MW391760.1,Staphylococcus epidermidis,Staphylococcus,strain NFZ9,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1070,99.81%,1,4-1074,1444-373
"gi|1929497368|gb|MW227551.1| Staphylococcus sp. strain ST1 16S ribosomal RNA gene, partial sequence",1454,MW227551.1,Staphylococcus sp,Staphylococcus,strain ST1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1070,99.81%,1,4-1074,1449-378
"gi|514251664|gb|KF048935.1| Staphylococcus sp. EllikeE4 16S ribosomal RNA gene, partial sequence",1421,KF048935.1,Staphylococcus sp,Staphylococcus,,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1070,99.81%,1,4-1074,1416-345
"gi|2591108931|gb|OR648293.1| Staphylococcus epidermidis strain 041405A-3b 16S ribosomal RNA gene, partial sequence",1435,OR648293.1,Staphylococcus epidermidis,Staphylococcus,strain 041405A-3b,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1070,99.81%,1,4-1074,1435-364
"gi|2078719175|gb|MZ749719.1| Staphylococcus epidermidis strain NLG15 16S ribosomal RNA gene, partial sequence",1464,MZ749719.1,Staphylococcus epidermidis,Staphylococcus,strain NLG15,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1072,1070,99.81%,1,4-1074,1453-382
"gi|3027969497|gb|PV961211.1| Staphylococcus epidermidis strain TRM59657 16S ribosomal RNA gene, partial sequence",1459,PV961211.1,Staphylococcus epidermidis,Staphylococcus,strain TRM59657,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1075,1072,99.72%,2,2-1074,1453-379
"gi|2645239382|gb|PP086791.1| Staphylococcus epidermidis strain SWUPB27 16S ribosomal RNA gene, partial sequence",1461,PP086791.1,Staphylococcus epidermidis,Staphylococcus,strain SWUPB27,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1074,1071,99.72%,1,2-1074,1455-382
"gi|2871849610|gb|PQ782942.1| Staphylococcus epidermidis strain ZT639 16S ribosomal RNA gene, partial sequence",1453,PQ782942.1,Staphylococcus epidermidis,Staphylococcus,strain ZT639,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1074,1071,99.72%,2,2-1074,1449-377
"gi|2591108928|gb|OR648290.1| Staphylococcus epidermidis strain 041405A-1 16S ribosomal RNA gene, partial sequence",1438,OR648290.1,Staphylococcus epidermidis,Staphylococcus,strain 041405A-1,16S ribosomal RNA gene,partial sequence,1,0.00e+00,1071,1069,99.81%,1,5-1074,1438-368
